club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Fri, 4 Dec 2015",/event.aspx?773059,Jack Teck
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Fri, 4 Dec 2015",/event.aspx?773059,Massa
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Fri, 4 Dec 2015",/event.aspx?773059,Serotonic
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 18 Jan 2014",/event.aspx?556215,Marlowe
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 Jan 2014",/event.aspx?548547,Christian Burkhardt
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 Jan 2014",/event.aspx?548547,Pazkal
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 Jan 2014",/event.aspx?548547,Smalltown Collective
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 14 Dec 2013",/event.aspx?528408,Martinez
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 14 Dec 2013",/event.aspx?528408,Dana Ruh
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 14 Dec 2013",/event.aspx?528408,Beda
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 2 Nov 2013",/event.aspx?526283,Ekkohaus
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 2 Nov 2013",/event.aspx?526283,Pazkal
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 7 Sep 2013",/event.aspx?510617,Hector Couto
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 7 Sep 2013",/event.aspx?510617,Pazkal
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 7 Sep 2013",/event.aspx?510617,Smalltown Collective
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 May 2013",/event.aspx?467702,Lauhaus
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 May 2013",/event.aspx?467702,Pazkal
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 4 May 2013",/event.aspx?467702,Smalltown Collective
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 27 Apr 2013",/event.aspx?468609,Paul Darey
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 13 Apr 2013",/event.aspx?460506,Bacalao & Sonne
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 13 Apr 2013",/event.aspx?460506,Marco De Rosa
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 13 Apr 2013",/event.aspx?460506,Dario La Mazza
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 9 Mar 2013",/event.aspx?451058,Marco De Rosa
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 9 Mar 2013",/event.aspx?451058,Roberto De Carlo
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 9 Mar 2013",/event.aspx?451058,Dario La Mazza
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 2 Mar 2013",/event.aspx?444033,Kabale und Liebe
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 2 Mar 2013",/event.aspx?444033,Pazkal
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 2 Mar 2013",/event.aspx?444033,Smalltown Collective
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 26 Jan 2013",/event.aspx?453998,Coxswain
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 26 Jan 2013",/event.aspx?453998,Marco De Rosa
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 26 Jan 2013",/event.aspx?453998,Dario La Mazza
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 12 Jan 2013",/event.aspx?440077,Jens Bond
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 12 Jan 2013",/event.aspx?440077,Luca Torre
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Sat, 12 Jan 2013",/event.aspx?440077,Dario La Mazza
"Bahnhof Enge / Gutenbergstrasse 1, 8002 Zürich",69435, Station Club,/club.aspx?id=69435,"Mon, 31 Dec 2012",/event.aspx?433817,Daniel Dreier
