club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 13 Aug 2016",/event.aspx?866903,Hvitling
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 13 Aug 2016",/event.aspx?860048,Federico Gardenghi
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Tue, 29 Sep 2015",/event.aspx?727062,Deejay Mimmo
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Tue, 29 Sep 2015",/event.aspx?727062,Dario D'Attis
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Tue, 29 Sep 2015",/event.aspx?727062,Mucho Stylez
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 2 Aug 2014",/event.aspx?619561,Niall Redmond
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 2 Aug 2014",/event.aspx?619561,Mark Faermont
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 11 Aug 2012",/event.aspx?389979,Adam B
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 11 Aug 2012",/event.aspx?389979,G!L Everest
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 8 Aug 2009",/event.aspx?99417,Joe T. Vannelli
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sat, 8 Aug 2009",/event.aspx?99417,Tremendo
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sun, 28 Oct 2007",/event.aspx?32350,Gleichschritt
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sun, 28 Oct 2007",/event.aspx?32350,Don Ramon
"Mythenquai 95, 8002 Zürich",6613, Streets of Zurich,/club.aspx?id=6613,"Sun, 28 Oct 2007",/event.aspx?32350,San Marco
