club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 22 Apr 2016",/event.aspx?823907,Dubspeeka
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 22 Jan 2016",/event.aspx?791974,SCNTST
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 22 Jan 2016",/event.aspx?791974,Neferiel
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 25 Sep 2015",/event.aspx?753125,Skinnerbox
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 25 Sep 2015",/event.aspx?753125,Opuswerk
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 9 May 2015",/event.aspx?707527,"<a href=""/dj/paulc"">Paul C</a>"
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 9 May 2015",/event.aspx?707527,Paul C
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 9 May 2015",/event.aspx?707527,Blaqq & Why'd
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 13 Mar 2015",/event.aspx?687150,Gianni Callipari
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 13 Mar 2015",/event.aspx?687150,Doppelt Gemoppelt
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 13 Mar 2015",/event.aspx?687150,Blaqq & Why'd
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 12 Dec 2014",/event.aspx?656621,Bloody Mary
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 12 Dec 2014",/event.aspx?656621,Jose De Divina
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 12 Dec 2014",/event.aspx?656621,Ed Luis
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 31 Oct 2014",/event.aspx?638084,Boris Werner
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 31 Oct 2014",/event.aspx?638084,Hito
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Fri, 31 Oct 2014",/event.aspx?638084,Adrian Martin
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Thu, 17 May 2012",/event.aspx?364028,The 2 Bears
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Thu, 17 May 2012",/event.aspx?364028,Suddenly Neighbours
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 1 Oct 2011",/event.aspx?294551,Chez Damier
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 1 Oct 2011",/event.aspx?294551,Demetrio Giannice
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 1 Oct 2011",/event.aspx?294551,Shaka
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 1 Oct 2011",/event.aspx?294551,Timnah Sommerfeldt
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 27 Aug 2011",/event.aspx?283724,Round Table Knights
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Sat, 27 Aug 2011",/event.aspx?283724,Suddenly Neighbours
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Tue, 16 Aug 2011",/event.aspx?287319,Bob Rock
"Burgweg 7, 4058 Basel",51066, Sud Basel,/club.aspx?id=51066,"Tue, 16 Aug 2011",/event.aspx?287319,Mirk Oh
