club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 28 Apr 2012",/event.aspx?358915,are:age
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 28 Apr 2012",/event.aspx?358915,Sandro ZH
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 28 Apr 2012",/event.aspx?358915,Tarco
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 7 Jan 2012",/event.aspx?320987,Juen
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 7 Jan 2012",/event.aspx?320987,Andreas Ramos
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 7 Jan 2012",/event.aspx?320987,Sandro ZH
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 7 Jan 2012",/event.aspx?320987,Tarco
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 18 Nov 2011",/event.aspx?289653,Silvision
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 18 Nov 2011",/event.aspx?289653,Squep
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 29 Oct 2011",/event.aspx?302269,Gill&Gill;
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 29 Oct 2011",/event.aspx?302269,Schmerol
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 29 Oct 2011",/event.aspx?302269,Sandro ZH
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 24 Sep 2011",/event.aspx?281091,Samy Demonti
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 15 Apr 2011",/event.aspx?249472,Bowski
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 4 Mar 2011",/event.aspx?235531,Egyptrixx
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 10 Dec 2010",/event.aspx?212043,Max Cooper
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 10 Dec 2010",/event.aspx?212043,Bagheera
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 15 Oct 2010",/event.aspx?252475,Rosalinda
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 15 Oct 2010",/event.aspx?252475,Schmerol
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 8 Oct 2010",/event.aspx?198264,Lorenz Rhode
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 8 Oct 2010",/event.aspx?198264,Eric Fox
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 25 Jun 2010",/event.aspx?252474,Audino
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 25 Jun 2010",/event.aspx?252474,Barbir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 25 Jun 2010",/event.aspx?252474,Rosalinda
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 19 Jun 2010",/event.aspx?172706,Ondrej
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 19 Jun 2010",/event.aspx?172706,Brenner
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 28 May 2010",/event.aspx?144146,Bastian Schuster
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 23 Apr 2010",/event.aspx?159131,Quitim
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 23 Apr 2010",/event.aspx?159131,Silvision
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 23 Apr 2010",/event.aspx?159131,Elvis Cassetta
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 23 Apr 2010",/event.aspx?159131,Nicola Kazimir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 23 Apr 2010",/event.aspx?159131,Barbir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 19 Mar 2010",/event.aspx?143372,Beda
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 19 Feb 2010",/event.aspx?144515,Serafin
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 19 Feb 2010",/event.aspx?144515,Azuni
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 19 Feb 2010",/event.aspx?144515,Nicola Kazimir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 19 Feb 2010",/event.aspx?144515,Audino
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 22 Jan 2010",/event.aspx?140316,David Durango
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 15 Jan 2010",/event.aspx?137577,Gleichschritt
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 9 Jan 2010",/event.aspx?138433,Klein und Lang
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 9 Jan 2010",/event.aspx?138433,Mike Peters
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 11 Dec 2009",/event.aspx?127603,Reto Ardour
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 11 Dec 2009",/event.aspx?127603,Benja
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 11 Dec 2009",/event.aspx?127603,Nicola Kazimir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 11 Dec 2009",/event.aspx?127603,Audino
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 28 Nov 2009",/event.aspx?126332,Tarco
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Sat, 28 Nov 2009",/event.aspx?126332,Regenbogen
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 27 Nov 2009",/event.aspx?130948,Animal Trainer
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 16 Oct 2009",/event.aspx?116986,Reto Ardour
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 16 Oct 2009",/event.aspx?116986,Bassbüro
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 16 Oct 2009",/event.aspx?116986,Nicola Kazimir
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 16 Oct 2009",/event.aspx?116986,Audino
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 3 Jul 2009",/event.aspx?104019,Dejan
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 5 Jun 2009",/event.aspx?96363,Murat Kilic
"Zähringerstrasse  39; 8001, Zürich",7538, Superzero,/club.aspx?id=7538,"Fri, 5 Jun 2009",/event.aspx?96363,Telepathie
