club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 17 Oct 2009",/event.aspx?116011,Franco Bianco
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 17 Oct 2009",/event.aspx?116011,Mike Wall
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 17 Oct 2009",/event.aspx?116011,Feldermelder
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 17 Oct 2009",/event.aspx?116011,Schnauz
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 18 Dec 2010",/event.aspx?207599,Bonobo
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 18 Dec 2010",/event.aspx?207599,Andreya Triana
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 11 Dec 2010",/event.aspx?207587,xxxy
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 20 Nov 2010",/event.aspx?202384,Gideon
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Thu, 4 Nov 2010",/event.aspx?195622,Mount Kimbie
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Thu, 4 Nov 2010",/event.aspx?195622,Ital Tek
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Thu, 4 Nov 2010",/event.aspx?195622,Supra1
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 15 Oct 2010",/event.aspx?189039,Nosaj Thing
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 9 Oct 2010",/event.aspx?189038,Kid Sleazy
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 9 Oct 2010",/event.aspx?189038,Jimi Jules
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 9 Oct 2010",/event.aspx?189038,Schnauz
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 1 Oct 2010",/event.aspx?189027,Somtek
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 25 Sep 2010",/event.aspx?186830,Pariah
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 25 Sep 2010",/event.aspx?186830,Partikel
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 18 Sep 2010",/event.aspx?189005,Quinto
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 17 Sep 2010",/event.aspx?189002,Cryptonites
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 17 Sep 2010",/event.aspx?189002,El Tigre Sound
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 4 Sep 2010",/event.aspx?188998,Schlachthofbronx
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 3 Sep 2010",/event.aspx?175673,Kimono
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 22 May 2010",/event.aspx?162234,Jackmaster
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 15 May 2010",/event.aspx?162232,Karsten Pflum
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Fri, 7 May 2010",/event.aspx?162231,WILDLIFE!
"Arsenalstrasse 28; 6010, Kriens",21140, Südpol,/club.aspx?id=21140,"Sat, 27 Mar 2010",/event.aspx?147936,Liondub
