club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 25 Oct 2013",/event.aspx?532359,Hyrez
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 25 Oct 2013",/event.aspx?532359,Topick
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 25 Oct 2013",/event.aspx?532359,Jordan Hayes
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 25 Oct 2013",/event.aspx?532359,Chris Rockwell
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 25 Oct 2013",/event.aspx?532359,Syntec
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 14 Jun 2013",/event.aspx?483668,John Deere
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 14 Jun 2013",/event.aspx?483668,Seb Blake
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 16 Dec 2011",/event.aspx?295831,Samsara
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Sat, 19 Nov 2011",/event.aspx?309294,Fabio Alampi
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Sat, 19 Nov 2011",/event.aspx?309294,Mussen
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Sat, 19 Nov 2011",/event.aspx?309294,Bugsy
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Sat, 19 Nov 2011",/event.aspx?309294,Cristian Tamborrini
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Sat, 19 Nov 2011",/event.aspx?309294,Giulia Paradiso
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 21 Oct 2011",/event.aspx?296121,Samsara
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 16 Sep 2011",/event.aspx?288304,Samsara
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 29 Jul 2011",/event.aspx?276381,NonSenseCorporation
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 29 Jul 2011",/event.aspx?276381,Mikall Svender
"Auf dem Wolf 4, 4052 Basel",43531, Techno Lounge,/club.aspx?id=43531,"Fri, 20 May 2011",/event.aspx?240669,Xela
