club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Jul 2010",/event.aspx?176639,Pettinato
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Jul 2010",/event.aspx?176639,Emil Teiger
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Jul 2010",/event.aspx?176639,Gianlukino
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 28 May 2010",/event.aspx?164436,Dollar Mambo
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 28 May 2010",/event.aspx?164436,Knor
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 28 May 2010",/event.aspx?164436,Sarna
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 14 May 2010",/event.aspx?165099,Mike Huckaby
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 14 May 2010",/event.aspx?165099,Demetrio Giannice
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 14 May 2010",/event.aspx?165099,Matto
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 14 May 2010",/event.aspx?165099,Andaloop
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Apr 2010",/event.aspx?156268,The Wild Cowboys
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Apr 2010",/event.aspx?156268,Garçon
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 3 Apr 2010",/event.aspx?156268,Morard
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Fri, 12 Feb 2010",/event.aspx?144141,Benjamin Fehr
"Utengasse 15; 4058, Basel",24366, The Satisfactory,/club.aspx?id=24366,"Sat, 12 Dec 2009",/event.aspx?134166,Juan Veloz
