club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 24 Mar 2012",/event.aspx?334841,Paul Eg
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 9 Apr 2011",/event.aspx?247665,DJ Hell
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 9 Apr 2011",/event.aspx?247665,J_Sanders
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 12 Feb 2011",/event.aspx?225559,Lukas Kleesattel
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 12 Feb 2011",/event.aspx?225559,Jon Donson
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 12 Feb 2011",/event.aspx?225559,Mike Teixeira
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 12 Feb 2011",/event.aspx?225559,Tadeo Doberska
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sat, 12 Feb 2011",/event.aspx?225559,Nick Nasty
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sun, 2 Nov 2008",/event.aspx?70634,Andrés Marcos
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sun, 2 Nov 2008",/event.aspx?70634,Frango
"Lungolago Giuseppe Motta 7, 6600 Locarno",41096, Uber Naturapura,/club.aspx?id=41096,"Sun, 2 Nov 2008",/event.aspx?70634,Tadeo Doberska
