club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Fri, 27 Jan 2017",/event.aspx?908411,Patrice Scott
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Fri, 27 Jan 2017",/event.aspx?908411,DJ Mathieu
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 3 Dec 2016",/event.aspx?887564,Shanti Celeste
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 3 Dec 2016",/event.aspx?887564,DJ Mathieu
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 26 Nov 2016",/event.aspx?905893,Timoteo
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 26 Nov 2016",/event.aspx?905893,Christian Schiemann
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 1 Oct 2016",/event.aspx?838996,Damiano von Erckert
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 1 Oct 2016",/event.aspx?838996,DJ Mathieu
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 9 Apr 2016",/event.aspx?785360,Dan Shake
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 9 Apr 2016",/event.aspx?785360,DJ Mathieu
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Sat, 9 Jan 2016",/event.aspx?777657,Shaka
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Thu, 2 Apr 2015",/event.aspx?699640,Galoppierende Zuversicht
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Thu, 2 Apr 2015",/event.aspx?699640,Le Citadin
"Geissensteinring 14, 6005, Luzern",29490, Uferlos,/club.aspx?id=29490,"Fri, 30 Apr 2010",/event.aspx?163264,Franco Bianco
