club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Solomun
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Lehar
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Definition
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Reto Ardour
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Dejan
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,James Mc Hale
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Abel (FR)
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Kenny Ground
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Murciano
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 14 May 2016",/event.aspx?807688,Kantarik
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Fritz Kalkbrenner
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,H.O.S.H.
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Sascha Braemer
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Neverdogs
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Proudly People
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Giulia Paradiso
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Dejan
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Reto Ardour
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 3 Oct 2015",/event.aspx?749635,Alci
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Dan Ghenacia
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Shaun Reeves
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Visionquest
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Lee Curtiss
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Audiofly
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Tobi Neumann
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Bella Sarris
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Gianni Callipari
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Dejan
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Sandro Kuhne
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Liebkind
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,Audino
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 13 Jun 2015",/event.aspx?723041,James Mc Hale
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 23 May 2015",/event.aspx?796689,Solomun
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 23 May 2015",/event.aspx?796689,Adriatique
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 23 May 2015",/event.aspx?796689,Reto Ardour
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 23 May 2015",/event.aspx?796689,Animal Trainer
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Luciano
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Carl Craig
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Seth Troxler
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Matthias Tanzmann
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Kalabrese
"Uetliberg, 8143",52870, Uto Kulm,/club.aspx?id=52870,"Sat, 22 Oct 2011",/event.aspx?295088,Andrea Oliva
