club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 21 Dec 2007",/event.aspx?313496,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 2 Nov 2007",/event.aspx?313494,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 16 Mar 2007",/event.aspx?313490,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 24 Nov 2006",/event.aspx?313489,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 29 Sep 2006",/event.aspx?313488,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 22 Apr 2005",/event.aspx?313479,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 10 Dec 2004",/event.aspx?313478,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 7 May 2004",/event.aspx?313474,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 23 Apr 2004",/event.aspx?313473,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 12 Mar 2004",/event.aspx?313471,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 27 Feb 2004",/event.aspx?313469,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 13 Feb 2004",/event.aspx?313467,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 30 Jan 2004",/event.aspx?313463,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 26 Dec 2003",/event.aspx?313461,St.Paul
"Ancienne-Pointe 16, 1920 Martigny, CH",55476, V-So Club,/club.aspx?id=55476,"Fri, 3 Oct 2003",/event.aspx?313416,St.Paul
