club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Fri, 21 Oct 2011",/event.aspx?303616,Kapara
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 8 Oct 2011",/event.aspx?298750,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Wed, 5 Oct 2011",/event.aspx?296729,Rainer
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 3 Sep 2011",/event.aspx?288408,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 3 Sep 2011",/event.aspx?288408,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 3 Sep 2011",/event.aspx?288408,Dario D'Attis
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Fri, 2 Sep 2011",/event.aspx?288404,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Fri, 2 Sep 2011",/event.aspx?288404,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Fri, 2 Sep 2011",/event.aspx?288404,Dario D'Attis
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 16 Jul 2011",/event.aspx?275830,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 14 May 2011",/event.aspx?258107,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 12 Mar 2011",/event.aspx?237300,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 5 Mar 2011",/event.aspx?237304,Dario D'Attis
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 15 Jan 2011",/event.aspx?222024,Dario D'Attis
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 4 Aug 2012",/event.aspx?393093,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Tue, 31 Jul 2012",/event.aspx?391690,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Tue, 31 Jul 2012",/event.aspx?391690,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 26 May 2012",/event.aspx?372553,Rich Braker
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 26 May 2012",/event.aspx?372553,Junior D
"Talstrasse 58; 8001, Zurich",40498, Valmann Bar & Club,/club.aspx?id=40498,"Sat, 26 May 2012",/event.aspx?372553,Kultig & Cheers
