club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Robin Schulz
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Animal Trainer
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Einzelkind
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Christian Burkhardt
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Bassbüro
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Me & My Monkey
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 5 Dec 2014",/event.aspx?644316,Kellerkind
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 6 Dec 2013",/event.aspx?519596,Adriatique
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 6 Dec 2013",/event.aspx?519596,Kellerkind
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 6 Dec 2013",/event.aspx?519596,Animal Trainer
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 6 Dec 2013",/event.aspx?519596,Bassbüro
"Hofmattstrasse 4, 3920 Zermatt",82868, Vernissage Club,/club.aspx?id=82868,"Fri, 6 Dec 2013",/event.aspx?519596,Ajele
