club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 20 Jun 2015",/event.aspx?699958,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 20 Jun 2015",/event.aspx?699958,Kev the Head
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Fri, 10 Dec 2010",/event.aspx?207653,Diego Hostettler
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Fri, 10 Dec 2010",/event.aspx?207653,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 30 Oct 2010",/event.aspx?200615,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 18 Sep 2010",/event.aspx?190539,Diego Hostettler
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 18 Sep 2010",/event.aspx?190539,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 19 Jun 2010",/event.aspx?165109,Diego Hostettler
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 19 Jun 2010",/event.aspx?165109,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Fri, 16 Apr 2010",/event.aspx?145637,Diego Hostettler
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Fri, 16 Apr 2010",/event.aspx?145637,Vision-E
"Rathausgasse 63; 3011, Bern",19214, Wohnzimmer,/club.aspx?id=19214,"Sat, 27 Jun 2009",/event.aspx?105013,Vision-E
