club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 15 Oct 2016",/event.aspx?885275,Unleashed Sound System
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 21 May 2016",/event.aspx?837302,Alle Farben
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Wed, 27 Apr 2016",/event.aspx?794607,Moderat
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Mon, 13 Apr 2015",/event.aspx?647710,Flying Lotus
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Fri, 19 Dec 2014",/event.aspx?631959,Fritz Kalkbrenner
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Maceo Plex
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Tale Of Us
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Mano Le Tough
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,DJ Tennis
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Mark Henning
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Markus Lindner
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Canson
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Dejan
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Reto Ardour
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Benja
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 26 Apr 2014",/event.aspx?577101,Permanent Vacation
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Fri, 26 Apr 2013",/event.aspx?418960,Fritz Kalkbrenner
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Fri, 26 Apr 2013",/event.aspx?418960,Chopstick & Johnjon
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Fri, 26 Apr 2013",/event.aspx?418960,Animal Trainer
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 3 Nov 2012",/event.aspx?412025,The Peaking Goddess Collective
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 3 Nov 2012",/event.aspx?412025,Master Margherita
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 3 Nov 2012",/event.aspx?412025,Rocco
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 3 Nov 2012",/event.aspx?412025,Mahi
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Carl Craig
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Matthias Tanzmann
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Paco Osuna
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Nick Curly
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Stacey Pullen
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Robert Dietz
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Miss Jools
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Boris Werner
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Lauhaus
"Limmatstrasse 118; 8031, Zürich",26153, X-Tra,/club.aspx?id=26153,"Sat, 11 Aug 2012",/event.aspx?363603,Dan Andrei
