club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 10 May 2014",/event.aspx?589731,Pornbugs
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 12 Apr 2014",/event.aspx?586147,Shawnecy
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 12 Apr 2014",/event.aspx?586147,OneFootStep
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 4 Apr 2014",/event.aspx?560603,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 15 Mar 2014",/event.aspx?571844,Emanuel Satie
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 15 Mar 2014",/event.aspx?571844,Benotmane
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 15 Mar 2014",/event.aspx?571844,Patrick Becker
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 7 Mar 2014",/event.aspx?570526,Chapkmace
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 7 Mar 2014",/event.aspx?570526,Krizzli
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 7 Mar 2014",/event.aspx?570526,Jokari
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 22 Feb 2014",/event.aspx?561194,Dole & Kom
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 7 Feb 2014",/event.aspx?560601,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 18 Jan 2014",/event.aspx?558971,Sasch BBC
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 3 Jan 2014",/event.aspx?548082,Lemonick
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 3 Jan 2014",/event.aspx?548082,Jokari
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 3 Jan 2014",/event.aspx?548082,Bitsculpter
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 3 Jan 2014",/event.aspx?548082,Krizzli
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 13 Dec 2013",/event.aspx?558958,Kevin Over
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 16 Nov 2013",/event.aspx?536039,Pornbugs
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 1 Nov 2013",/event.aspx?498254,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 12 Oct 2013",/event.aspx?524661,dotSTRIPE
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 13 Sep 2013",/event.aspx?558965,Mario Aureo
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 6 Sep 2013",/event.aspx?498253,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 16 Aug 2013",/event.aspx?509005,Lemonick
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 16 Aug 2013",/event.aspx?509005,Krizzli
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 7 Jun 2013",/event.aspx?454394,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 17 May 2013",/event.aspx?476618,Emanuel Satie
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 20 Apr 2013",/event.aspx?454393,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 13 Apr 2013",/event.aspx?468700,Rampue
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 15 Mar 2013",/event.aspx?458008,Sub Secret
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 1 Feb 2013",/event.aspx?404396,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 31 Aug 2012",/event.aspx?399789,DVW
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 31 Aug 2012",/event.aspx?399789,Chapkmace
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 24 Aug 2012",/event.aspx?376846,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 11 May 2012",/event.aspx?322671,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 30 Mar 2012",/event.aspx?322670,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 4 Feb 2012",/event.aspx?334873,Isolated Lines
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 11 Nov 2011",/event.aspx?289201,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 26 Aug 2011",/event.aspx?258962,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 17 Jun 2011",/event.aspx?258965,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 8 Apr 2011",/event.aspx?221482,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 11 Mar 2011",/event.aspx?221481,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 17 Dec 2010",/event.aspx?193227,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 12 Nov 2010",/event.aspx?193225,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 27 Aug 2010",/event.aspx?163827,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 23 Jul 2010",/event.aspx?163826,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Fri, 2 Apr 2010",/event.aspx?139804,The Cruzaders
"Av. de Tivoli 3; 1700, Fribourg",22157, Xxème,/club.aspx?id=22157,"Sat, 7 Nov 2009",/event.aspx?122247,The Cruzaders
