name,day,month,year,ville,festival
ZERO,27,Jan.,2017,Geneve,ANTIGEL
MAY B (MAGUY MARIN),28,Jan.,2017,Geneve,ANTIGEL
MAY B (MAGUY MARIN),29,Jan.,2017,Geneve,ANTIGEL
TRENTEMOLLER,02,Fev.,2017,Geneve,ANTIGEL
THE NOTWIST,03,Fev.,2017,Geneve,ANTIGEL
HENRI DES,05,Fev.,2017,Geneve,ANTIGEL
LAMBCHOP,07,Fev.,2017,Geneve,ANTIGEL
LISA HANNIGAN,10,Fev.,2017,Geneve,ANTIGEL
PATTI SMITH,11,Fev.,2017,Geneve,ANTIGEL
THE DANDY WARHOLS,15,Fev.,2017,Geneve,ANTIGEL
MODERAT,16,Fev.,2017,Geneve,ANTIGEL
FRANCOIS & THE ATLAS MOUNTAINS,17,Fev.,2017,Geneve,ANTIGEL
KRONOS QUARTET,18,Fev.,2017,Geneve,ANTIGEL
