name,day,month,year,ville,festival
GAETAN,11,Mai,2016,La Chaux du Milieu,CORBAK
CHLOE LACAN,12,Mai,2016,La Chaux du Milieu,CORBAK
SOPHIE HUNGER,13,Mai,2016,La Chaux du Milieu,CORBAK
THE RAMBLING WHEELS,14,Mai,2016,La Chaux du Milieu,CORBAK
4YGRECS,20,Mai,2015,La Chaux du Milieu,CORBAK
BZZZz (Olivier Gabus et Nathalie Dubois),20,Mai,2015,La Chaux du Milieu,CORBAK
NICOLAS FRAISSINET,21,Mai,2015,La Chaux du Milieu,CORBAK
YANAC,21,Mai,2015,La Chaux du Milieu,CORBAK
YAEL NAIM,22,Mai,2015,La Chaux du Milieu,CORBAK
ARTHUR H,23,Mai,2015,La Chaux du Milieu,CORBAK
JEANNE CHERHAL,05,Juin,2014,La Chaux du Milieu,CORBAK
FANNY LEEB,06,Juin,2014,La Chaux du Milieu,CORBAK
YANOWSKI,07,Juin,2014,La Chaux du Milieu,CORBAK
ERIK TRUFFAZ,15,Mai,2013,La Chaux du Milieu,CORBAK
MAIA VIDAL,16,Mai,2013,La Chaux du Milieu,CORBAK
ELEONORE,17,Mai,2013,La Chaux du Milieu,CORBAK
EMILY LOIZEAU,18,Mai,2013,La Chaux du Milieu,CORBAK
VINCENT VALLAT,18,Mai,2013,La Chaux du Milieu,CORBAK
LE CARNAVAL DES ANIMAUX,18,Mai,2013,La Chaux du Milieu,CORBAK
LES AVENTURES DE ROSALIE LA PETITE SOURIS,23,Mai,2012,La Chaux du Milieu,CORBAK
JANE BIRKIN,24,Mai,2012,La Chaux du Milieu,CORBAK
NICOLAS FRAISSINET,24,Mai,2012,La Chaux du Milieu,CORBAK
BAUCHKLANG,25,Mai,2012,La Chaux du Milieu,CORBAK
MNOZIL BRASS,25,Mai,2012,La Chaux du Milieu,CORBAK
JULIETTE,25,Mai,2012,La Chaux du Milieu,CORBAK
LES PETITS CHANTEURS A LA GUEULE DE BOIS,26,Mai,2012,La Chaux du Milieu,CORBAK
MIOSSEC,26,Mai,2012,La Chaux du Milieu,CORBAK
DEBOUT SUR LE ZINC,26,Mai,2012,La Chaux du Milieu,CORBAK
BRICOMIC,08,Juin,2011,La Chaux du Milieu,CORBAK
HEIDI HAPPY,09,Juin,2011,La Chaux du Milieu,CORBAK
MANU GALURE,10,Juin,2011,La Chaux du Milieu,CORBAK
LOUIS CHEDID,11,Juin,2011,La Chaux du Milieu,CORBAK
BACK TO THE FUTURE,19,Mai,2010,La Chaux du Milieu,CORBAK
LE CIRQUE DES MIRAGES,20,Mai,2010,La Chaux du Milieu,CORBAK
SELAH SUE,21,Mai,2010,La Chaux du Milieu,CORBAK
THOMAS FERSEN,22,Mai,2010,La Chaux du Milieu,CORBAK
ABD AL MALIK,28,Mai,2009,La Chaux du Milieu,CORBAK
THOMAS DUTRONC,29,Mai,2009,La Chaux du Milieu,CORBAK
DICK ANNEGARN,30,Mai,2009,La Chaux du Milieu,CORBAK
HOMMAGE A CLAUDE NOUGARO,08,Mai,2008,La Chaux du Milieu,CORBAK
VICTORIA TIBBLIN,09,Mai,2008,La Chaux du Milieu,CORBAK
JEAN LOUIS MURAT,09,Mai,2008,La Chaux du Milieu,CORBAK
MANO SOLO,09,Mai,2008,La Chaux du Milieu,CORBAK
TETES RAIDES,10,Mai,2008,La Chaux du Milieu,CORBAK
WILLIAM WHITE,10,Mai,2008,La Chaux du Milieu,CORBAK
PAULINE CROZE,10,Mai,2008,La Chaux du Milieu,CORBAK
BEL HUBERT,24,Mai,2007,La Chaux du Milieu,CORBAK
SIMON GERBER,24,Mai,2007,La Chaux du Milieu,CORBAK
VICTORIA ABRIL,24,Mai,2007,La Chaux du Milieu,CORBAK
VIENNA ART ORCHESTRA,25,Mai,2007,La Chaux du Milieu,CORBAK
BRIGITTE FONTAINE,25,Mai,2007,La Chaux du Milieu,CORBAK
EMILIE SIMON,25,Mai,2007,La Chaux du Milieu,CORBAK
LES FILS DE TEUHPU,26,Mai,2007,La Chaux du Milieu,CORBAK
SERGENT GARCIA,26,Mai,2007,La Chaux du Milieu,CORBAK
GIORGIO CONTE,26,Mai,2007,La Chaux du Milieu,CORBAK
MICHEL JONASZ (ABRAHAM),01,Juin,2006,La Chaux du Milieu,CORBAK
LOLE,02,Juin,2006,La Chaux du Milieu,CORBAK
YURI BUENAVENTURA,02,Juin,2006,La Chaux du Milieu,CORBAK
LO JO,03,Juin,2006,La Chaux du Milieu,CORBAK
CYRZ,03,Juin,2006,La Chaux du Milieu,CORBAK
MOUSS  & HAKIM,03,Juin,2006,La Chaux du Milieu,CORBAK
YVES JAMAIT,03,Juin,2006,La Chaux du Milieu,CORBAK
