name,day,month,year,ville,festival
THE CRANBERRIES,09,Juin,2016,Neuchatel,FESTI NEUCH
CYPRESS HILL,10,Juin,2016,Neuchatel,FESTI NEUCH
PAROV STELAR,11,Juin,2016,Neuchatel,FESTI NEUCH
SELAH SUE,12,Juin,2016,Neuchatel,FESTI NEUCH
HUBERT FELIX THIEFAINE,11,Juin,2015,Neuchatel,FESTI NEUCH
FATBOY SLIM,12,Juin,2015,Neuchatel,FESTI NEUCH
MILKY CHANCE,13,Juin,2015,Neuchatel,FESTI NEUCH
YANNICK NOAH,14,Juin,2015,Neuchatel,FESTI NEUCH
THE OFFSPRING,12,Juin,2014,Neuchatel,FESTI NEUCH
JULIEN DORE,13,Juin,2014,Neuchatel,FESTI NEUCH
THE ROOTS,14,Juin,2014,Neuchatel,FESTI NEUCH
BASTIAN BAKER,15,Juin,2014,Neuchatel,FESTI NEUCH
TRICKY,30,Mai,2013,Neuchatel,FESTI NEUCH
KLAXONS,31,Mai,2013,Neuchatel,FESTI NEUCH
STEPHAN EICHER,01,Juin,2013,Neuchatel,FESTI NEUCH
SALIF KEITA,02,Juin,2013,Neuchatel,FESTI NEUCH
MARILYN MANSON,31,Mai,2012,Neuchatel,FESTI NEUCH
SEXION D'ASSAUT,01,Juin,2012,Neuchatel,FESTI NEUCH
THOMAS FERSEN,02,Juin,2012,Neuchatel,FESTI NEUCH
AMADOU ET MARIAM,03,Juin,2012,Neuchatel,FESTI NEUCH
AYO,02,Juin,2011,Neuchatel,FESTI NEUCH
WU TANG CLAN,03,Juin,2011,Neuchatel,FESTI NEUCH
MOBY,04,Juin,2011,Neuchatel,FESTI NEUCH
GROUNDATION,05,Juin,2011,Neuchatel,FESTI NEUCH
MIKA,03,Juin,2010,Neuchatel,FESTI NEUCH
CYPRESS HILL,04,Juin,2010,Neuchatel,FESTI NEUCH
CARAVAN PALACE,05,Juin,2010,Neuchatel,FESTI NEUCH
YOUSSOU N'DOUR,06,Juin,2010,Neuchatel,FESTI NEUCH
LIMP BIZKIT,04,Juin,2009,Neuchatel,FESTI NEUCH
ZEBRA (Antoine),04,Juin,2009,Neuchatel,FESTI NEUCH
KEZIAH JONES,05,Juin,2009,Neuchatel,FESTI NEUCH
ROUND TABLE KNIGHTS,05,Juin,2009,Neuchatel,FESTI NEUCH
RAPHAEL,06,Juin,2009,Neuchatel,FESTI NEUCH
EMIR KUSTURICA & THE NO SMOKING ORCHESTRA,07,Juin,2009,Neuchatel,FESTI NEUCH
BOYS NOIZE,30,Mai,2008,Neuchatel,FESTI NEUCH
ZENZILE,30,Mai,2008,Neuchatel,FESTI NEUCH
THE LICKS,30,Mai,2008,Neuchatel,FESTI NEUCH
SIMIAN MOBILE DISCO,30,Mai,2008,Neuchatel,FESTI NEUCH
EMPYR,30,Mai,2008,Neuchatel,FESTI NEUCH
THE VERVE,30,Mai,2008,Neuchatel,FESTI NEUCH
TAFTA,30,Mai,2008,Neuchatel,FESTI NEUCH
IZUL,30,Mai,2008,Neuchatel,FESTI NEUCH
THE STREETS,31,Mai,2008,Neuchatel,FESTI NEUCH
STEPHAN EICHER,31,Mai,2008,Neuchatel,FESTI NEUCH
LA CAUTION,31,Mai,2008,Neuchatel,FESTI NEUCH
TTC,31,Mai,2008,Neuchatel,FESTI NEUCH
FANTAZIO,31,Mai,2008,Neuchatel,FESTI NEUCH
MONKEY 3,31,Mai,2008,Neuchatel,FESTI NEUCH
FEIST,31,Mai,2008,Neuchatel,FESTI NEUCH
ROKIA TRAORE,01,Juin,2008,Neuchatel,FESTI NEUCH
GORAN BREGOVIC,01,Juin,2008,Neuchatel,FESTI NEUCH
I SKARBONARI,01,Juin,2008,Neuchatel,FESTI NEUCH
ELANDIR,01,Juin,2008,Neuchatel,FESTI NEUCH
CASSIUS,01,Juin,2007,Neuchatel,FESTI NEUCH
JUSTICE,01,Juin,2007,Neuchatel,FESTI NEUCH
HOUSTON SWING ENGINE,01,Juin,2007,Neuchatel,FESTI NEUCH
LOLE,01,Juin,2007,Neuchatel,FESTI NEUCH
IGGY POP,01,Juin,2007,Neuchatel,FESTI NEUCH
DE LA SOUL,02,Juin,2007,Neuchatel,FESTI NEUCH
ASIAN DUB FOUNDATION,02,Juin,2007,Neuchatel,FESTI NEUCH
PRINCE PAUL,02,Juin,2007,Neuchatel,FESTI NEUCH
GENTLEMAN (AND THE EVOLUTION),02,Juin,2007,Neuchatel,FESTI NEUCH
BALKAN BEAT BOX (BBB),02,Juin,2007,Neuchatel,FESTI NEUCH
SOJA (SOLDIERS OF JAH ARMY),02,Juin,2007,Neuchatel,FESTI NEUCH
MOONRAISERS,02,Juin,2007,Neuchatel,FESTI NEUCH
LES OGRES DE BARBACK,03,Juin,2007,Neuchatel,FESTI NEUCH
GOTAN PROJECT,03,Juin,2007,Neuchatel,FESTI NEUCH
JULIETTE & THE LICKS,02,Juin,2006,Neuchatel,FESTI NEUCH
VITALIC,02,Juin,2006,Neuchatel,FESTI NEUCH
LE PEUPLE DE L'HERBE,02,Juin,2006,Neuchatel,FESTI NEUCH
THE PRODIGY,02,Juin,2006,Neuchatel,FESTI NEUCH
WILLIAM WHITE,03,Juin,2006,Neuchatel,FESTI NEUCH
GROUNDATION,03,Juin,2006,Neuchatel,FESTI NEUCH
PATRICE,03,Juin,2006,Neuchatel,FESTI NEUCH
BURNING SPEAR,03,Juin,2006,Neuchatel,FESTI NEUCH
SIMON GERBER,04,Juin,2006,Neuchatel,FESTI NEUCH
MAXIME LE FORESTIER,04,Juin,2006,Neuchatel,FESTI NEUCH
DOCTOR L,04,Juin,2006,Neuchatel,FESTI NEUCH
NAPOLEON WASHINGTON,04,Juin,2006,Neuchatel,FESTI NEUCH
ISSA BAGAYOGO,04,Juin,2006,Neuchatel,FESTI NEUCH
