name,day,month,year,ville,festival
JOE LOVANO,15,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
PLAISTOW,16,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
BAD RESOLUTION,17,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
INNLAANDS,18,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
YANNICK DELEZ,19,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
MARCOS JIMENEZ,20,Mar.,2016,Geneve,FESTIVAL DE JAZZ DE L'AMR
MANU GESSENEY,24,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
KUARA,25,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
ANTOINE THOUVENIN,26,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
BASEL RAJOUB,27,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
MATHIEU ROSSIGNELLY,28,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
ANDERS JORMIN,29,Mar.,2015,Geneve,FESTIVAL DE JAZZ DE L'AMR
BOBO STENSON,18,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
SEBASTIEN AMMANN,19,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
GENTLE MARVEL,20,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
STEVE KUHN,21,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
GANESH GEYMEIER,22,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
ANTIDOGMA,23,Mar.,2014,Geneve,FESTIVAL DE JAZZ DE L'AMR
JEAN-LOU TREBOUX,19,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
JOHN SCOFIELD,20,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
NICOLAS MASSON,21,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
ENRICO PIERANUNZI,22,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
JOY FREMPONG,23,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
GERRY HEMINGWAY,24,Mar.,2013,Geneve,FESTIVAL DE JAZZ DE L'AMR
TRIONYX,20,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
ARVE HENRIKSEN,21,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
MICHEL BASTET,22,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
FLORENCE MELNOTTE,23,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
ELINA DUNI,24,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
JOHN TAYLOR,25,Mar.,2012,Geneve,FESTIVAL DE JAZZ DE L'AMR
FANFARE DU LOUP ORCHESTRA (LE CRI DU SON),05,Avr.,2011,Geneve,FESTIVAL DE JAZZ DE L'AMR
GABRIEL ZUFFEREY,06,Avr.,2011,Geneve,FESTIVAL DE JAZZ DE L'AMR
