name,day,month,year,ville,festival
RED HOT CHILI PEPPERS,08,Juin,2016,Interlaken,GREENFIELD
VOLBEAT,09,Juin,2016,Interlaken,GREENFIELD
NIGHTWISH,10,Juin,2016,Interlaken,GREENFIELD
THE PRODIGY,11,Juin,2016,Interlaken,GREENFIELD
RAMMSTEIN,13,Juin,2013,Interlaken,GREENFIELD
THE STRAPONES,14,Juin,2013,Interlaken,GREENFIELD
BULLET FOR MY VALENTINE,15,Juin,2013,Interlaken,GREENFIELD
TALCO,15,Juin,2012,Interlaken,GREENFIELD
TURBOWOLF,16,Juin,2012,Interlaken,GREENFIELD
BREAKDOWN OF SANITY,17,Juin,2012,Interlaken,GREENFIELD
SYSTEM OF A DOWN (SOAD),09,Juin,2011,Interlaken,GREENFIELD
PROMETHEE,11,Juin,2010,Interlaken,GREENFIELD
THE DILLINGER ESCAPE PLAN,12,Juin,2010,Interlaken,GREENFIELD
DEATH BY STEREO,13,Juin,2010,Interlaken,GREENFIELD
NIGHTWISH,12,Juin,2009,Interlaken,GREENFIELD
FAITH NO MORE,13,Juin,2009,Interlaken,GREENFIELD
SLIPKNOT,14,Juin,2009,Interlaken,GREENFIELD
APOCALYPTICA,13,Juin,2008,Interlaken,GREENFIELD
THE DONNAS,13,Juin,2008,Interlaken,GREENFIELD
IN FLAMES,13,Juin,2008,Interlaken,GREENFIELD
FUNERAL FOR A FRIEND,13,Juin,2008,Interlaken,GREENFIELD
BULLET FOR MY VALENTINE,13,Juin,2008,Interlaken,GREENFIELD
THE OFFSPRING,13,Juin,2008,Interlaken,GREENFIELD
SICK OF IT ALL,13,Juin,2008,Interlaken,GREENFIELD
IN EXTREMO,13,Juin,2008,Interlaken,GREENFIELD
ENTER SHIKARI,13,Juin,2008,Interlaken,GREENFIELD
OCEANSIZE,14,Juin,2008,Interlaken,GREENFIELD
ZEBRAHEAD,14,Juin,2008,Interlaken,GREENFIELD
MILLENCOLIN,14,Juin,2008,Interlaken,GREENFIELD
THE BLACKOUT,14,Juin,2008,Interlaken,GREENFIELD
COHEED AND CAMBRIA,14,Juin,2008,Interlaken,GREENFIELD
REDWOOD,14,Juin,2008,Interlaken,GREENFIELD
THE WEAKERTHANS,14,Juin,2008,Interlaken,GREENFIELD
DIE ARZTE,14,Juin,2008,Interlaken,GREENFIELD
RISE AGAINST,14,Juin,2008,Interlaken,GREENFIELD
3 DOORS DOWN,14,Juin,2008,Interlaken,GREENFIELD
BIFFY CLYRO,15,Juin,2008,Interlaken,GREENFIELD
LINKIN PARK,15,Juin,2008,Interlaken,GREENFIELD
BLACK REBEL MOTORCYCLE CLUB,15,Juin,2008,Interlaken,GREENFIELD
BEATSTEAKS,15,Juin,2008,Interlaken,GREENFIELD
NOFX,15,Juin,2008,Interlaken,GREENFIELD
