name,day,month,year,ville,festival
ARTUS (DE A à S/AL DENTE/SAIGNANT A POINT),01,Dec.,2016,,MONTREUX COMEDY FESTIVAL
JEAN LUC BARBEZAT,02,Dec.,2016,,MONTREUX COMEDY FESTIVAL
VERINO,03,Dec.,2016,,MONTREUX COMEDY FESTIVAL
JEREMY FERRARI,03,Dec.,2016,,MONTREUX COMEDY FESTIVAL
MAX BIRD,04,Dec.,2016,,MONTREUX COMEDY FESTIVAL
PAUL WHEELER,04,Dec.,2016,,MONTREUX COMEDY FESTIVAL
JEREMY FERRARI,04,Dec.,2016,,MONTREUX COMEDY FESTIVAL
MATHIEU MADENIAN,05,Dec.,2016,,MONTREUX COMEDY FESTIVAL
FRANCESCO DE CARLO,02,Dec.,2015,,MONTREUX COMEDY FESTIVAL
ERIC ANTOINE,03,Dec.,2015,,MONTREUX COMEDY FESTIVAL
GARNIER ET SENTOU,04,Dec.,2015,,MONTREUX COMEDY FESTIVAL
LES FRANGLAISES,04,Dec.,2015,,MONTREUX COMEDY FESTIVAL
THOMAS NGIJOL,06,Dec.,2015,,MONTREUX COMEDY FESTIVAL
LES CHEVALIERS DU FIEL,06,Dec.,2015,,MONTREUX COMEDY FESTIVAL
ARNAUD TSAMERE,07,Dec.,2015,,MONTREUX COMEDY FESTIVAL
LAURENT GERRA,04,Dec.,2014,,MONTREUX COMEDY FESTIVAL
LE WOOP,05,Dec.,2014,,MONTREUX COMEDY FESTIVAL
PASCAL LEGITIMUS (ONE MAN SHOW),06,Dec.,2014,,MONTREUX COMEDY FESTIVAL
YANN LAMBIEL,07,Dec.,2014,,MONTREUX COMEDY FESTIVAL
STEPHANE ROUSSEAU,08,Dec.,2014,,MONTREUX COMEDY FESTIVAL
CHARLOTTE GABRIS,05,Dec.,2013,,MONTREUX COMEDY FESTIVAL
STUART TAYLOR,06,Dec.,2013,,MONTREUX COMEDY FESTIVAL
MICHAEL GREGORIO,07,Dec.,2013,,MONTREUX COMEDY FESTIVAL
GARNIER ET SENTOU,08,Dec.,2013,,MONTREUX COMEDY FESTIVAL
YANN LAMBIEL,08,Dec.,2013,,MONTREUX COMEDY FESTIVAL
GUILLAUME BATS,09,Dec.,2013,,MONTREUX COMEDY FESTIVAL
GUILLAUME BATS,10,Dec.,2013,,MONTREUX COMEDY FESTIVAL
JEREMY FERRARI,06,Dec.,2012,,MONTREUX COMEDY FESTIVAL
KHEIRON,07,Dec.,2012,,MONTREUX COMEDY FESTIVAL
LE COMTE DE BOUDERBALA (Sami Ameziane),07,Dec.,2012,,MONTREUX COMEDY FESTIVAL
VIRGINIE HOCQ,08,Dec.,2012,,MONTREUX COMEDY FESTIVAL
AIRNADETTE,08,Dec.,2012,,MONTREUX COMEDY FESTIVAL
BRIGITTE ROSSET,09,Dec.,2012,,MONTREUX COMEDY FESTIVAL
JEREMY FERRARI,09,Dec.,2012,,MONTREUX COMEDY FESTIVAL
"NICOLE FERRONI (""L'OEUF, LA POULE OU NICOLE"")",09,Dec.,2012,,MONTREUX COMEDY FESTIVAL
OLDELAF,09,Dec.,2012,,MONTREUX COMEDY FESTIVAL
KYAN KHOJANDI,10,Dec.,2012,,MONTREUX COMEDY FESTIVAL
JEAN LUC LEMOINE,01,Dec.,2011,,MONTREUX COMEDY FESTIVAL
NOMAN HOSNI,02,Dec.,2011,,MONTREUX COMEDY FESTIVAL
ARNAUD TSAMERE,03,Dec.,2011,,MONTREUX COMEDY FESTIVAL
LES CHEVALIERS DU FIEL,03,Dec.,2011,,MONTREUX COMEDY FESTIVAL
CHRIS ESQUERRE,04,Dec.,2011,,MONTREUX COMEDY FESTIVAL
OLIVIER DE BENOIST,04,Dec.,2011,,MONTREUX COMEDY FESTIVAL
ERIC ANTOINE,05,Dec.,2011,,MONTREUX COMEDY FESTIVAL
JONATHAN LAMBERT,02,Dec.,2010,,MONTREUX COMEDY FESTIVAL
CHARLOTTE GABRIS,03,Dec.,2010,,MONTREUX COMEDY FESTIVAL
BRIGITTE ROSSET,04,Dec.,2010,,MONTREUX COMEDY FESTIVAL
JEAN LUC BARBEZAT,04,Dec.,2010,,MONTREUX COMEDY FESTIVAL
VOCA PEOPLE,05,Dec.,2010,,MONTREUX COMEDY FESTIVAL
AUDREY LAMY,05,Dec.,2010,,MONTREUX COMEDY FESTIVAL
STEPHANE GUILLON,06,Dec.,2010,,MONTREUX COMEDY FESTIVAL
TITOFF,08,Dec.,2009,,MONTREUX COMEDY FESTIVAL
GASPARD PROUST,09,Dec.,2009,,MONTREUX COMEDY FESTIVAL
BEN (Cedric Ben Abdallah),10,Dec.,2009,,MONTREUX COMEDY FESTIVAL
CLAUDIA / CLAUDIA TAGBO,11,Dec.,2009,,MONTREUX COMEDY FESTIVAL
LAURENT GERRA,12,Dec.,2009,,MONTREUX COMEDY FESTIVAL
VERINO,13,Dec.,2009,,MONTREUX COMEDY FESTIVAL
PATRICE THIBAUD ET PHILIPPE LEYGNAC,13,Dec.,2009,,MONTREUX COMEDY FESTIVAL
LAURENT GERRA,13,Dec.,2009,,MONTREUX COMEDY FESTIVAL
