name,day,month,year,ville,festival
THIERRY MEURY,13,Juin,2016,Morges,MORGES SOUS RIRE
NATHANAEL ROCHAT,13,Juin,2016,Morges,MORGES SOUS RIRE
ELIE SEMOUN,14,Juin,2016,Morges,MORGES SOUS RIRE
ISSA DOUMBIA,14,Juin,2016,Morges,MORGES SOUS RIRE
MICHAEL HIRSCH,14,Juin,2016,Morges,MORGES SOUS RIRE
JEREMY FERRARI,14,Juin,2016,Morges,MORGES SOUS RIRE
THIERRY MEURY,14,Juin,2016,Morges,MORGES SOUS RIRE
ERIC LAMPAERT,14,Juin,2016,Morges,MORGES SOUS RIRE
AXELLE LAFFONT,15,Juin,2016,Morges,MORGES SOUS RIRE
AURELIA DECKER,15,Juin,2016,Morges,MORGES SOUS RIRE
JEAN MARIE BIGARD,15,Juin,2016,Morges,MORGES SOUS RIRE
RAPHAEL MEZRAHI,15,Juin,2016,Morges,MORGES SOUS RIRE
ELODIE POUX,15,Juin,2016,Morges,MORGES SOUS RIRE
JEAN LUC LEMOINE,16,Juin,2016,Morges,MORGES SOUS RIRE
GARNIER ET SENTOU,16,Juin,2016,Morges,MORGES SOUS RIRE
PE,16,Juin,2016,Morges,MORGES SOUS RIRE
BRIGITTE ROSSET,16,Juin,2016,Morges,MORGES SOUS RIRE
SOPHIA ARAM,16,Juin,2016,Morges,MORGES SOUS RIRE
CHRISTELLE CHOLLET,17,Juin,2016,Morges,MORGES SOUS RIRE
NORBERT ONE MAN SHOW PATATE!,17,Juin,2016,Morges,MORGES SOUS RIRE
MONSIEUR FRAIZE,17,Juin,2016,Morges,MORGES SOUS RIRE
PIERRE EMMANUEL BARRE,17,Juin,2016,Morges,MORGES SOUS RIRE
STEPHANE GUILLON,17,Juin,2016,Morges,MORGES SOUS RIRE
GARNIER ET SENTOU,17,Juin,2016,Morges,MORGES SOUS RIRE
LA BAJON,17,Juin,2016,Morges,MORGES SOUS RIRE
VERINO,18,Juin,2016,Morges,MORGES SOUS RIRE
TONTON PIERRICK,18,Juin,2016,Morges,MORGES SOUS RIRE
MARINA ROLLMAN,18,Juin,2016,Morges,MORGES SOUS RIRE
PIERRE EMMANUEL BARRE,18,Juin,2016,Morges,MORGES SOUS RIRE
AIRNADETTE,18,Juin,2016,Morges,MORGES SOUS RIRE
THOMAS WIESEL,18,Juin,2016,Morges,MORGES SOUS RIRE
AYMERIC LOMPRET,18,Juin,2016,Morges,MORGES SOUS RIRE
MARC DONNET MONAY,05,Juin,2015,Morges,MORGES SOUS RIRE
CHARLOTTE GABRIS,05,Juin,2015,Morges,MORGES SOUS RIRE
CHEVALLIER ET LASPALES,05,Juin,2015,Morges,MORGES SOUS RIRE
FABIEN OLICARD,05,Juin,2015,Morges,MORGES SOUS RIRE
ARNAUD TSAMERE,05,Juin,2015,Morges,MORGES SOUS RIRE
VINCENT DEDIENNE,06,Juin,2015,Morges,MORGES SOUS RIRE
TEX,06,Juin,2015,Morges,MORGES SOUS RIRE
OLDELAF,06,Juin,2015,Morges,MORGES SOUS RIRE
JEREMY CHARBONNEL,06,Juin,2015,Morges,MORGES SOUS RIRE
ERIC ANTOINE,08,Juin,2015,Morges,MORGES SOUS RIRE
CAROLE GUISNEL,08,Juin,2015,Morges,MORGES SOUS RIRE
PIERRE AUCAIGNE,08,Juin,2015,Morges,MORGES SOUS RIRE
LES JUMEAUX (STEEVEN ET CHRISTOPHER),09,Juin,2015,Morges,MORGES SOUS RIRE
D'JAL (JUST D'JAL),09,Juin,2015,Morges,MORGES SOUS RIRE
CECILE DJUNGA,09,Juin,2015,Morges,MORGES SOUS RIRE
LES CHEVALIERS DU FIEL,09,Juin,2015,Morges,MORGES SOUS RIRE
NORA HAMZAWI,09,Juin,2015,Morges,MORGES SOUS RIRE
REGIS MAILHOT,10,Juin,2015,Morges,MORGES SOUS RIRE
PATRICK TIMSIT,10,Juin,2015,Morges,MORGES SOUS RIRE
FABIAN LE CASTEL,10,Juin,2015,Morges,MORGES SOUS RIRE
VIRGINIE HOCQ,10,Juin,2015,Morges,MORGES SOUS RIRE
JULIEN COURBET,10,Juin,2015,Morges,MORGES SOUS RIRE
LAURA LAUNE,10,Juin,2015,Morges,MORGES SOUS RIRE
JACQUES BONVIN,11,Juin,2015,Morges,MORGES SOUS RIRE
ANNE ROUMANOFF,11,Juin,2015,Morges,MORGES SOUS RIRE
NATHALIE DEVANTAY,11,Juin,2015,Morges,MORGES SOUS RIRE
ANTHONY KAVANAGH,11,Juin,2015,Morges,MORGES SOUS RIRE
SHIRLEY SOUAGNON,11,Juin,2015,Morges,MORGES SOUS RIRE
LE WOOP,12,Juin,2015,Morges,MORGES SOUS RIRE
"EDGAR (""LE COEUR DANS LES TALONS"")",12,Juin,2015,Morges,MORGES SOUS RIRE
OLE (PAUL MOROCCO),12,Juin,2015,Morges,MORGES SOUS RIRE
FREDERIC RECROSIO,12,Juin,2015,Morges,MORGES SOUS RIRE
VINCENT KOHLER,12,Juin,2015,Morges,MORGES SOUS RIRE
JULIE VILLERS,13,Juin,2015,Morges,MORGES SOUS RIRE
BRIGITTE ROSSET,13,Juin,2015,Morges,MORGES SOUS RIRE
JOSEPH GORGONI / MARIE THERESE PORCHET,13,Juin,2015,Morges,MORGES SOUS RIRE
AHMED SYLLA,13,Juin,2015,Morges,MORGES SOUS RIRE
ARNAUD DUCRET,13,Juin,2015,Morges,MORGES SOUS RIRE
