name,day,month,year,ville,festival
BREITBILD,07,Juil.,2016,Frauenfeld,OPENAIR FRAUENFELD
HOPSIN,08,Juil.,2016,Frauenfeld,OPENAIR FRAUENFELD
PULLUP ORCHESTRA,09,Juil.,2016,Frauenfeld,OPENAIR FRAUENFELD
TRAVIS SCOTT,09,Juil.,2015,Frauenfeld,OPENAIR FRAUENFELD
REMI,10,Juil.,2015,Frauenfeld,OPENAIR FRAUENFELD
FLATBUSH ZOMBIES,11,Juil.,2015,Frauenfeld,OPENAIR FRAUENFELD
SEEED,12,Juil.,2013,Frauenfeld,OPENAIR FRAUENFELD
CHAKUZA,13,Juil.,2013,Frauenfeld,OPENAIR FRAUENFELD
SNOOP DOGG,14,Juil.,2013,Frauenfeld,OPENAIR FRAUENFELD
PRINZ PI,06,Juil.,2012,Frauenfeld,OPENAIR FRAUENFELD
NAS,07,Juil.,2012,Frauenfeld,OPENAIR FRAUENFELD
SEAN PAUL,08,Juil.,2012,Frauenfeld,OPENAIR FRAUENFELD
