name,day,month,year,ville,festival
STEVE 'N' SEAGULLS,10,Aout,2016,Le Locle,ROCK ALTITUDE
KADEBOSTANY,11,Aout,2016,Le Locle,ROCK ALTITUDE
MUTOID MAN,12,Aout,2016,Le Locle,ROCK ALTITUDE
STUCK IN THE SOUND,13,Aout,2016,Le Locle,ROCK ALTITUDE
THE DILLINGER ESCAPE PLAN,12,Aout,2015,Le Locle,ROCK ALTITUDE
CHARLIE WINSTON,13,Aout,2015,Le Locle,ROCK ALTITUDE
LOFOFORA,14,Aout,2015,Le Locle,ROCK ALTITUDE
INTERPOL,15,Aout,2015,Le Locle,ROCK ALTITUDE
DOWN,15,Aout,2014,Le Locle,ROCK ALTITUDE
MORCHEEBA,16,Aout,2014,Le Locle,ROCK ALTITUDE
TAMBOURS DU BRONX,15,Aout,2013,Le Locle,ROCK ALTITUDE
THE DEFTONES,16,Aout,2013,Le Locle,ROCK ALTITUDE
THE ANIMEN,17,Aout,2013,Le Locle,ROCK ALTITUDE
NADA SURF,16,Aout,2012,Le Locle,ROCK ALTITUDE
NAPALM DEATH,17,Aout,2012,Le Locle,ROCK ALTITUDE
MOGWAI,18,Aout,2012,Le Locle,ROCK ALTITUDE
WILLIAM WHITE,11,Aout,2011,Le Locle,ROCK ALTITUDE
MESHUGGAH,12,Aout,2011,Le Locle,ROCK ALTITUDE
CHARLOU NADA,12,Aout,2010,Le Locle,ROCK ALTITUDE
GOJIRA,13,Aout,2010,Le Locle,ROCK ALTITUDE
K'S CHOICE,14,Aout,2010,Le Locle,ROCK ALTITUDE
MOONRAISERS,27,Aout,2009,Le Locle,ROCK ALTITUDE
ELLIOTT MURPHY,28,Aout,2009,Le Locle,ROCK ALTITUDE
THE HAUNTED,29,Aout,2009,Le Locle,ROCK ALTITUDE
ENTOMBED A.D.,22,Aout,2008,Le Locle,ROCK ALTITUDE
THE OCEAN,22,Aout,2008,Le Locle,ROCK ALTITUDE
IMPURE WILHELMINA,22,Aout,2008,Le Locle,ROCK ALTITUDE
NEUROSIS,22,Aout,2008,Le Locle,ROCK ALTITUDE
FAT NO BRAIN,23,Aout,2008,Le Locle,ROCK ALTITUDE
