name,day,month,year,ville,festival
CHARLES DUTOIT,21,Juil.,2017,Verbier,VERBIER FESTIVAL
ANDREW STAPLES,21,Juil.,2017,Verbier,VERBIER FESTIVAL
VERBIER FESTIVAL ORCHESTRA / VFO,21,Juil.,2017,Verbier,VERBIER FESTIVAL
RENAUD CAPUCON,22,Juil.,2017,Verbier,VERBIER FESTIVAL
DENIS KOZHUKHIN,22,Juil.,2017,Verbier,VERBIER FESTIVAL
ANDRAS SCHIFF,22,Juil.,2017,Verbier,VERBIER FESTIVAL
VERBIER FESTIVAL ORCHESTRA / VFO,22,Juil.,2017,Verbier,VERBIER FESTIVAL
GABOR TAKACS NAGY,22,Juil.,2017,Verbier,VERBIER FESTIVAL
BARRY DOUGLAS,22,Juil.,2017,Verbier,VERBIER FESTIVAL
PAVEL HAAS QUARTET,22,Juil.,2017,Verbier,VERBIER FESTIVAL
MIKLOS PERENYI,23,Juil.,2017,Verbier,VERBIER FESTIVAL
YURI BASHMET,23,Juil.,2017,Verbier,VERBIER FESTIVAL
LES SOLISTES DE MOSCOU,23,Juil.,2017,Verbier,VERBIER FESTIVAL
GRIGORY SOKOLOV,23,Juil.,2017,Verbier,VERBIER FESTIVAL
BARRY DOUGLAS,24,Juil.,2017,Verbier,VERBIER FESTIVAL
DENIS KOZHUKHIN,24,Juil.,2017,Verbier,VERBIER FESTIVAL
RIGOLETTO (GIANANDREA NOSEDA),24,Juil.,2017,Verbier,VERBIER FESTIVAL
DANIIL TRIFONOV,24,Juil.,2017,Verbier,VERBIER FESTIVAL
VERBIER FESTIVAL ORCHESTRA / VFO,24,Juil.,2017,Verbier,VERBIER FESTIVAL
LEIGH MESH,24,Juil.,2017,Verbier,VERBIER FESTIVAL
MAXIM RYSANOV,24,Juil.,2017,Verbier,VERBIER FESTIVAL
RICHARD GOODE,24,Juil.,2017,Verbier,VERBIER FESTIVAL
EDGAR MOREAU,24,Juil.,2017,Verbier,VERBIER FESTIVAL
RENAUD CAPUCON,24,Juil.,2017,Verbier,VERBIER FESTIVAL
PAVEL HAAS QUARTET,25,Juil.,2017,Verbier,VERBIER FESTIVAL
DANIEL LOZAKOVITCH,25,Juil.,2017,Verbier,VERBIER FESTIVAL
VERBIER FESTIVAL ORCHESTRA / VFO,25,Juil.,2017,Verbier,VERBIER FESTIVAL
ANDRAS SCHIFF,25,Juil.,2017,Verbier,VERBIER FESTIVAL
FRANCESCO PIEMONTESI,26,Juil.,2017,Verbier,VERBIER FESTIVAL
JULIEN QUENTIN,26,Juil.,2017,Verbier,VERBIER FESTIVAL
