name,day,month,year,ville,festival
JON MORE,01,Juil.,2016,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
STAVROZ,02,Juil.,2016,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
IMPERIAL TABASCO,03,Juil.,2016,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
FAKEAR,26,Juin,2015,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
NIGHTMARES ON WAX,27,Juin,2015,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
THE TWO,28,Juin,2015,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
MOP MOP (INSTRUMENTAL COMBO),27,Juin,2014,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
SYNAPSON,28,Juin,2014,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
EMEL MATHLOUTHI,29,Juin,2014,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
THEO PARRISH,28,Juin,2013,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
AZAXX (DJ),29,Juin,2013,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
JUKEBOX CHAMPIONS,30,Juin,2013,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
TM JUKE,29,Juin,2012,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
AWESOME TAPES FROM AFRICA,30,Juin,2012,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
REMY KOLPA KOPOUL AKA PRINCESS JORGE (DJ RKK),01,Juil.,2012,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
KID KOALA,01,Juil.,2011,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
MOTOR CITY DRUM ENSEMBLE,02,Juil.,2011,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
OY,03,Juil.,2011,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
THE BAMBOOS,25,Juin,2010,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
MARIANA DA CRUZ,26,Juin,2010,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
AKATARUS,27,Juin,2010,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
GILLES PETERSON,26,Juin,2009,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
CHUCK LOVE,27,Juin,2009,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
JAZZANOVA,27,Juin,2008,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
ROB LUIS,27,Juin,2008,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
BONOBO,29,Juin,2007,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
ALEX ATTIAS,30,Juin,2007,Sierre,WEEK END AU BORD DE L'EAU A SIERRE
