name,day,month,year,ville,festival
DJ BLEND,03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
HAKIM,03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
SHAY,03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
TUJAMO,03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
NAOMIE K,03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
W AND W / W&W;  (Willem van Hanegem & Ward van der Harst),03,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
BAD NELSON,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
IGOR BLASKA,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
JULIAN JORDAN,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
JERRY JOXX,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
TONY JUNIOR,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
KSHMR,04,Fev.,2017,Delemont,WINTER SOUND FESTIVAL
