ambigous_result,genre,name,no_result,origin
0,,Julian Layn,0,
0,,Wattup Festival,1,
0,,SOUNDS OF ROOTS,1,
0,dancehall,Everton Blender,0,
0,,trio 7d9,1,
0,album rock,Michael Schenker Group,0,
0,tech house,Citizen Kain,0,
0,,Pop Rock Night,1,
0,,ZKB Jazzpreis Finale,1,
0,reggae fusion,Jamaram,0,
0,,Mareva Galanter,1,
0,,GAPPYRANKSMUSIC,1,
0,hardcore hip hop,Sticky Fingaz,0,
0,hardcore hip hop,Fredro Starr,0,
0,,SmaKJam No.8,1,
0,,Da Sign,0,
1,,Opposite,0,
0,deep psychobilly,The Magnetix,0,
0,,CAPTAIN MOUSTACHE,1,
1,,Four Music,0,
0,,IMPURE WIHELMINA,1,
0,,ProSieben Love Boat,1,
0,,SEFIR Soul Fresh,1,
0,,"Campañia Flamenca Antonio Andrade ""Vaya con Dios""",1,
1,,Flowin' Immo,0,
0,,RoCola Bacalao and Anthony Bourdain,1,
0,deep disco house,Guy Gerber,0,
0,,Mark Berube,0,
0,,the Patriotic Few,0,
0,,Springtime Festival,1,
0,ccm,Switchfoot,0,
0,ccm,Hawk Nelson,0,
0,,More to come  Koch-Schütz-Studer,1,
0,brass band,Youngblood Brass Band,0,
0,ecuadoria,Rocola Bacalao,0,
0,,Anthony Bourdain,1,
0,dutch rock,Stuurbaard Bakkebaard,0,
0,idol,Sarah Burgess,0,
0,,Lesung,1,
0,kabarett,Bürger Lars Dietrich,0,
0,quebecois,Catherine Durand,0,
1,,Cynic,0,
0,icelandic pop,Jónsi,0,
0,german indie,"Fertig, Los!",0,
0,,Roman Fischer,1,
1,,Marina,0,
0,adult standards,The Diamonds,0,
0,dance pop,Marina and The Diamonds,0,
0,acid jazz,Brooklyn Funk Essentials,0,
0,,"""So wi di Grosse""",1,
0,,Über den Klee,1,
0,,Grete L.,1,
0,,ihr K.,1,
0,,Claus/Grossmann/Knecht,1,
0,,"Ensemble Phoenix Basel ""Workers Union""",1,
0,,Leuchte Turm,1,
0,,leuchte,1,
0,,Sven Mathiasen,1,
0,,Kobold,0,
1,,Hans,0,
0,,Ballerina,0,
0,,Thalias Kompagnons,1,
0,,Gobo. Digital Glossary,1,
0,,Akhe,0,
0,breakcore,Candie Hank,0,
0,,Schola Cantorum Basilensis,1,
0,,More to Come . Koch-Schütz-Studer,1,
0,,PRIVATE GARDEN,1,
0,,Die Zauberschuhe oder Lumpazi,1,
0,,das Nashorn,1,
0,,Maya Silfverberg,1,
0,,3 Tages Festival,1,
0,,GREENFIELD FESTIVAL 2010,1,
0,,Kafkas Schloss,1,
0,,Urhu,1,
0,,Vokaltrio Nørn,1,
0,,Georg Traber,1,
0,,The Sound Of Inner Peace tibetan mantras,1,
0,,Trafo Outdoor,1,
0,,DJ Flip,0,
0,german punk,WIZO,0,
0,,Poli dégaine,1,
0,,Zwiegespräche,1,
0,,Gott,0,
0,,Veronika Thieme,1,
0,,METRO STARS MICHEL,1,
0,celtic christmas,Luka Bloom,0,
0,garage pop,Jack Oblivian,0,
0,hard stoner rock,Feuerzeug,0,
0,,Colorblind RB,1,
0,,Riot of Love,0,
0,canadian metal,Blessed by a Broken Heart,0,
0,metalcore,LoveHateHero,0,
0,,Pulcinella e il cane,1,
0,,Salvatore Gatto,0,
0,,Micachu,0,
0,crunk,T.I.,0,
0,,Kasey Taylor,0,
0,,DJ Pena,0,
1,,Mono & Nikitaman,0,
0,,Kasperls Wurzeln,1,
1,,Molnar,0,
1,,Bettini,0,
0,,Kaufmann,0,
0,doujin,Arm,0,
0,vintage chanson,Mireille,0,
0,,MATHIEU,0,
0,,The Great War,1,
0,,Hotel Modern,1,
0,death core,Fuck Your Shadow From Behind,0,
1,,Slash,0,
0,,Myles Kennedy,0,
0,,String Jazz Quartet,1,
0,,Harald Haerter,0,
0,,DEP. GENEVE,1,
0,,D. LAUSANNE,1,
0,beatdown,Sworn Enemy,0,
0,death core,Postmortem Promises,0,
0,,Versus the Throne,0,
0,,Sonisphere,1,
0,,DEP.ZÜRICH,1,
0,,Dappled Cities Fly,1,
0,,SONISPHERE SUISSE,1,
0,,AC/DC STADE DE FRANCE-DEP. GENEVE,1,
0,,ACDC STADE DE FRANCE-DEP. GENEVE,1,
0,g funk,Bad Azz,0,
0,crunk,MC Eiht,0,
0,deep g funk,OG Daddy V,0,
0,,Live-Schiff,1,
0,alternative metal,Alice in Chains,0,
0,deep german punk,Smoke Blow,0,
0,alternative metal,Atreyu,0,
0,alternative metal,Stone Sour,0,
0,,2-Tageskarte Freitag,1,
0,,Tageskarte Freitag,1,
0,,Bale,0,
0,,SONISPHERE ZURICH 2010 D,1,
0,alternative metal,Volbeat,0,
0,alternative metal,Rise Against,0,
1,,Solo,0,
0,,CHECKOUT PANAMA,1,
0,,Bâlestock,1,
0,deep minimal techno,autistic,0,
0,,Jungle P,0,
0,,Booty Call,0,
0,,Ibis Lawrence,0,
0,acid jazz,Kraak & Smaak,0,
0,,Tageskarte Samstag,1,
0,ccm,VOTA,0,
