Adress,City,Latitude,Longitude,Venue
,Basel,47.552363,7.587572,Balz
,Zürich,47.372906,8.534628999999999,Vior club
,Zürich,47.388826,8.518921,Moods
"Klybeckstrasse 1b; 4057, Basel",Basel,47.563807000000004,7.591125,Kasern
,Bern,46.948903,7.459359,Mahogany hall
,Winterthur,47.502148999999996,8.724357000000001,Esse musicbar
,Frauenfeld,47.561045,8.894008,Eisenwerk
,Unterägeri,47.137498,8.5868,Seminar hotel
,Zürich,47.353853,8.554943,Lebewohlfabrik
,Bern,46.94815,7.4519649999999995,Ono  das kulturlokal
,Winterthur,47.501699,8.728823,Villa strauli
,Luzern,47.04187,8.310957,Bar 59
,Luzern,47.051753000000005,8.298259,Madeleine
,Zürich,47.371544,8.550486,Keller 62
,Zürich,47.382197999999995,8.534527,Club flamingo
,Zürich,47.389976000000004,8.521285,Escherwyss
,Bern,46.947565999999995,7.447976,Du theatre
,Niederscherli,46.886495000000004,7.388387,Mzh oberscherli
,Winterthur,47.494777,8.717944000000001,Kraftfeld
,Bern,46.953439,7.440005,Isc club
,Zürich,47.366376,8.546773,Mascotte
,Zürich,47.37675,8.529150999999999,Alte kaserne
,Zürich,47.375488,8.526468,Kanzlei
,Bern,46.944128000000006,7.435911,Orbital garden
,Zürich,47.384696999999996,8.533926,Photobastei
,Zürich,47.375735999999996,8.540001,Wallstreet bar
,Zürich,47.380457,8.527006,Mars bar
,Sankt gallen,47.426617,9.37317,Palace
,Basel,47.555034,7.587553,The birds eye jazz club
"Tellistrasse 118; 5001, Aarau",Aarau,47.383333,8.05,Kiff
,Münchenstein,47.508556,7.616217999999999,Rockfact music club
,Baden,47.476133000000004,8.304602000000001,Stanzerei
,Zürich,47.408944,8.550586000000001,Mundwerk
,Bern,46.95047,7.443566000000001,Turnhalle im progr
,Basel,47.563828,7.591142999999999,Parterre
,Grenchen,47.134371,7.315389,Musigbar
,Luzern,47.051551,8.299418,The bruch brothers
,Solothurn,47.206739,7.537572999999999,Kreuzkultur
,Winterthur,47.494565,8.707746,Gaswerk
,Uster,47.348676,8.718183999999999,Cafe und weinbar zum hut
,Nan,47.227493,8.820099,Alte fabrik
,Zürich,47.388277,8.553447,Theater rigiblick
,Basel,47.55735,7.586374,Theater fauteuil
,Zürich,47.363031,8.495714,Hotel atlantis
,Zürich,47.383401,8.539382000000002,Dynamo
,Luzern,47.044576,8.311250999999999,Schuur
,Kreuzlingen,47.654734000000005,9.17309,Hotel six
,Zürich,47.37721,8.527663,La catrina
,Thun,46.758658000000004,7.630300999999999,Mundwerk thun
,Luzern,47.053315000000005,8.305767999999999,Jazzkantine
,Luzern,47.055057,8.315052,El cartel
,Rafz,47.614309999999996,8.535122,Ref kirche
,Basel,47.564495,7.601806,Bar rouge
,Maisprach,47.561125,7.786741999999999,Kirche maisprach
,Zürich,47.374798999999996,8.534646,Stall 6
,Bern,46.952954999999996,7.440661,Reitschule
,Luzern,47.055062,8.317060000000001,Grand casino luzern
,Nan,47.427341999999996,9.374197,Grabenhalle
,Zürich,47.385878000000005,8.518157,Helsinki
,Nan,47.678965000000005,9.163337,Kulturladen
,Zürich,47.393339000000005,8.529451,Cafe bar nordbrucke
,Thalwil,47.29475,8.564028,Kulturraum thalwil
,Liestal,47.482644,7.734616,Kulturhotel guggenheim
,Zürich,47.378211,8.527395,Zukunft
,Zürich,47.387207000000004,8.519425,Big ben westside
,Bern,46.949727,7.442810000000001,Propellerbar
,Basel,47.564134,7.584369000000001,Cargo bar
,Lenzburg,47.393178999999996,8.177863,Baronessa
"Baumgartenstrasse 19, 8200 Schaffhausen",Schaffhausen,47.694466999999996,8.636037,Kammgarn
"Kofmehlweg 1, 4503 Solothurn",Solothurn,47.233333,7.516667,Kofmehl
,Pontresina,46.493284,9.90203,Pitschna scena
,Zürich,47.38004,8.527733,Gonzo
,Luzern,47.049757,8.308966,Roadhouse
"Pelikanstrasse 18; 8001, Zürich",Zürich,47.371722,8.536468,Kaufleuten
,Zürich,47.388304,8.51932,Exil
,Zürich,47.388504,8.518927,Labor
,Zürich,47.374378,8.533634,El lokal
,Zug,47.182363,8.458364999999999,Fabric
,Zug,47.182217,8.520759,Industrie 45
,Zürich,47.348463,8.562728,Meylenstein bar & lounge
,Zürich,47.387316,8.499864,Komplex 457
,Kirchberg,47.101013,7.570486,Schlagertempel
,Pratteln,47.527291999999996,7.694064,Z7
,Nan,47.332545,8.544321,Villa loca restaurant & bar
,Zürich,47.364701000000004,8.547614,Tibits / nzz bistro
,Bern,46.951696999999996,7.441730000000001,Kapitel bollwerk
,Lausanne,46.520083,6.63772,Bleu lezard
,Baden,47.471123,8.3062,Kiste
,Rorschach,47.478056,9.498935000000001,Seerestaurant
,Zürich,47.37947,8.527198,Bar rossi
,Thun,46.759838,7.623879,Mokka
,Zürich,47.375496999999996,8.544033,Akt niederdorf
,Luzern,47.049803000000004,8.302873,Tschuppis wonderbar
,Schwarzenburg,46.818453999999996,7.34112,Mza poschen
,Bern,46.968773999999996,7.441514999999999,Spinnerei
,Zürich,47.375840000000004,8.543772,Bierhalle wolf
,Nan,47.425809,9.37772,Trischli club
,Bern,46.951394,7.441250999999999,Le ciel
,Lausanne,46.52105,6.63157,D! Club
,Nan,47.425397,9.373673,Elephant club
"Rue de Genève 23; 1003, Lausanne",Lausanne,46.521865999999996,6.627166000000001,Mad Club
,Zürich,47.391906,8.51073,Q zurich
,Zürich,47.392103000000006,8.515077,Club silbando
,Bern,46.940756,7.444201,Dampfzentrale
,Zürich,47.375755,8.540084,Nelson pub zurich
,Zürich,47.371638,8.535836999999999,Jade club
,Zürich,47.380361,8.52612,Toro bar
,Winterthur,47.497535,8.722284,Salzhaus
,Rubigen,46.89065,7.5421759999999995,Muhle hunziken
,Zug,47.181507,8.484138,Galvanik
,Thun,46.761074,7.617089999999999,Brugglibar
,Zürich,47.378803999999995,8.529779,Lexy club
,Murten,46.92955,7.120286,Hotel murten
,Zürich,47.36278,8.547407000000002,Hotel eden au lac
,Opfikon,47.419623,8.558591999999999,Le stecha
,Bern,46.956294,7.437815,Bierhubeli
,Bern,46.95946,7.451819,La cappella
,Zürich,47.374171999999994,8.524755,Plaza zurich
,Zürich,47.381308000000004,8.531582,Amboss rampe
,Basel,47.560324,7.593348,Jazzcampus club
,Bern,46.948406,7.448721000000001,Bar wohnzimmer les amis
,Bülach,47.516067,8.541960000000001,Jazzinn
,Olten,47.348225,7.903010000000001,Schutzi olten
,Nan,47.147861,8.506985,Kirche st nikolaus
,Basel,47.03026,8.255174,Heimat
,Nan,47.135979999999996,7.2499199999999995,Coupole (gaskessel)
,Zürich,47.364734000000006,8.548579,Purpur
,Zürich,47.343403,8.535745,Rote fabrik
,Wil,47.461283,9.032672,Gare de lion
,Bad ragaz,46.998468,9.503896000000001,Casino bad ragaz
,Baden,47.478157,8.308656,Royal
,Baden,47.470893,8.305409,Prima vista
,Zürich,47.391373,8.512514999999999,Mehrspur
,Winterthur,47.49841,8.729256,Albani music club
,Zürich,47.364486,8.521175,Rost und gold
"Wallisellenstrasse 45; 8050, Zürich",Zürich,47.410675,8.552307,Hallenstadion
,Risch,47.133503999999995,8.465796000000001,Waldheim
,Zürich,47.387358,8.530403999999999,Planet5 events
,Basel,47.543312,7.620392,Kaschemme
,Nan,47.60873,7.658580000000001,Notlosung
,Bern,46.947772,7.441641000000001,All in  musicbar
,Oberentfelden,47.352924,8.042261,Borom pom pom
,Bern,46.95872,7.446331,Cafe kairo
,Lausanne,46.519967,6.636514999999999,Le bourg
,Luzern,47.04586,8.30861,Kleintheater luzern
,Basel,47.554547,7.595575999999999,Vorstadttheater basel
,Liebefeld,46.934979,7.417464,Bejazz club (vidmarhallen)
,Horw,47.015702000000005,8.310288,Zwischenbuhne
,Luzern,47.070143,8.285703,Musikzentrum sedel
,Basel,47.568101,7.606547999999999,Gare du nord
,Basel,47.559008,7.595231,Restaurant hirscheneck
,Zürich,47.37813,8.526928999999999,Longstreet bar
,Zürich,47.378069,8.533666,Europaallee
,Zürich,47.375458,8.527225,Volkshaus
,Thun,46.743119,7.629385000000001,Kkthun
,Zürich,47.374259,8.545461999999999,Zentralbibliothek (predigerchor)
,Zürich,47.399004999999995,8.535058,Gz buchegg
,Basel,47.56388,7.602863,Rosentalanlage
,Mühlethurnen,46.814744,7.513911,Alti moschti
,Wädenswil,47.225449,8.678774,Theater ticino
,Aarau,47.392537,8.043809,Boiler club
,Wiedlisbach,47.241169,7.65143,Soho
,Baden,47.479752000000005,8.300226,Werkk
,Zürich,47.387624,8.530047999999999,Provitreff
,Nan,46.794915,7.151835,Frison
,Burgdorf,47.063876,7.630112,Restaurant gyri
,Brislach,47.421415,7.541778999999999,Steakhouse rossli
,Bern,46.952785,7.440633999999999,Reitschule dachstock
,Effretikon,47.430882000000004,8.705843,B & b bar
