artist_name,artist_url,event_venue.city,event_venue.id,event_venue.latitude,event_datetime,event_venue.longitude,event_venue.url,event_url,event_id,event_venue.region,event_venue.name
Fanfarlo,http://www.bandsintown.com/Fanfarlo,Vevey,306332,46.472145,2010-01-28T19:00:00,6.851925,http://www.bandsintown.com/venue/306332,http://www.bandsintown.com/event/3246098?app_id=epfl,3246098,Etr,ROCKING CHAIR
NOTRE ETAT DANS LE MONDE,http://www.bandsintown.com/NotreEtatDansLeMonde,Pully,781047,46.512085,2010-01-28T19:00:00,6.660064,http://www.bandsintown.com/venue/781047,http://www.bandsintown.com/event/3159980?app_id=epfl,3159980,Etr,THEATRE DE L'OCTOGONE
Stuck in the Sound,http://www.bandsintown.com/StuckInTheSound,Lausanne,289098,46.522385,2010-01-28T19:00:00,6.61819,http://www.bandsintown.com/venue/289098,http://www.bandsintown.com/event/3160751?app_id=epfl,3160751,Switzerland,Le Docks
LAS AVES,http://www.bandsintown.com/LasAves,Lausanne,289098,46.522385,2010-01-28T19:00:00,6.61819,http://www.bandsintown.com/venue/289098,http://www.bandsintown.com/event/3160751?app_id=epfl,3160751,Switzerland,Le Docks
Samuel Blaser,http://www.bandsintown.com/SamuelBlaser,Neuchatel,809769,46.99129,2010-01-28T20:00:00,6.92843,http://www.bandsintown.com/venue/809769,http://www.bandsintown.com/event/3269034?app_id=epfl,3269034,NE,Cafe du Cerf
Charlie Winston,http://www.bandsintown.com/CharlieWinston,Thônex,328374,46.194679,2010-01-28T20:30:00,6.204396,http://www.bandsintown.com/venue/328374,http://www.bandsintown.com/event/3263620?app_id=epfl,3263620,Switzerland,Salle des fêtes de Thônex
Mike Doughty,http://www.bandsintown.com/MikeDoughty,Berne,80385,46.948432,2010-01-28T20:00:00,7.440461,http://www.bandsintown.com/venue/80385,http://www.bandsintown.com/event/3282937?app_id=epfl,3282937,,ISC
Blues Caravan,http://www.bandsintown.com/BluesCaravan,Aarburg,293613,47.32019,2010-01-28T19:00:00,7.899079,http://www.bandsintown.com/venue/293613,http://www.bandsintown.com/event/3266860?app_id=epfl,3266860,Switzerland,Moonwalker
Sananda Maitreya,http://www.bandsintown.com/SanandaMaitreya,Lucerne,818757,47.0445786,2010-01-28T19:30:00,8.3112497,http://www.bandsintown.com/venue/818757,http://www.bandsintown.com/event/3314824?app_id=epfl,3314824,LU,Schüür
Pasion De Buena Vista,http://www.bandsintown.com/PasionDeBuenaVista,Zurich,773100,47.3873901,2010-01-28T19:30:00,8.4854202,http://www.bandsintown.com/venue/773100,http://www.bandsintown.com/event/2878857?app_id=epfl,2878857,ZH,Neues Theater Spirgarten
The Black Angels,http://www.bandsintown.com/TheBlackAngels,Zurich,343400,47.37706,2010-01-28T20:00:00,8.53955,http://www.bandsintown.com/venue/343400,http://www.bandsintown.com/event/3180569?app_id=epfl,3180569,Canton Of Zurich,Volkhaus
The Casualties,http://www.bandsintown.com/TheCasualties,Zurich,594255,47.383297,2010-01-28T20:00:00,8.539312,http://www.bandsintown.com/venue/594255,http://www.bandsintown.com/event/3124567?app_id=epfl,3124567,Etr,Dynamo
Wolfmother,http://www.bandsintown.com/Wolfmother,Zurich,686165,47.375485,2010-01-28T20:00:00,8.527116,http://www.bandsintown.com/venue/686165,http://www.bandsintown.com/event/3265388?app_id=epfl,3265388,Switzerland,Volkshaus Zürich
Roger Cicero,http://www.bandsintown.com/RogerCicero,Basel,169944,47.56321,2010-01-28T20:00:00,7.5994,http://www.bandsintown.com/venue/169944,http://www.bandsintown.com/event/2901723?app_id=epfl,2901723,Switzerland,"Messe Basel, Grosser Saal"
Big Band,http://www.bandsintown.com/BigBand,Basel,169944,47.56321,2010-01-28T20:00:00,7.5994,http://www.bandsintown.com/venue/169944,http://www.bandsintown.com/event/2901723?app_id=epfl,2901723,Switzerland,"Messe Basel, Grosser Saal"
Naturally 7,http://www.bandsintown.com/Naturally7,Lausanne,781376,46.52087,2010-01-29T19:00:00,6.63175,http://www.bandsintown.com/venue/781376,http://www.bandsintown.com/event/3160582?app_id=epfl,3160582,Etr,D! CLUB
The Four Horsemen,http://www.bandsintown.com/TheFourHorsemen,Bulle,781478,46.6166667,2010-01-29T19:00:00,7.0666667,http://www.bandsintown.com/venue/781478,http://www.bandsintown.com/event/3301213?app_id=epfl,3301213,06,Ebullition
69 Chambers,http://www.bandsintown.com/69Chambers,Bulle,781478,46.6166667,2010-01-29T19:00:00,7.0666667,http://www.bandsintown.com/venue/781478,http://www.bandsintown.com/event/3301213?app_id=epfl,3301213,06,Ebullition
NOTRE ETAT DANS LE MONDE,http://www.bandsintown.com/NotreEtatDansLeMonde,Pully,781047,46.512085,2010-01-29T19:00:00,6.660064,http://www.bandsintown.com/venue/781047,http://www.bandsintown.com/event/3159979?app_id=epfl,3159979,Etr,THEATRE DE L'OCTOGONE
Samuel Blaser,http://www.bandsintown.com/SamuelBlaser,Lausanne,773347,46.5199013,2010-01-29T20:00:00,6.63939,http://www.bandsintown.com/venue/773347,http://www.bandsintown.com/event/3109990?app_id=epfl,3109990,VD,Chorus
Jools,http://www.bandsintown.com/Jools,Fribourg,275156,46.79489,2010-01-29T22:00:00,7.151038,http://www.bandsintown.com/venue/275156,http://www.bandsintown.com/event/3352849?app_id=epfl,3352849,Etr,Fri-Son
