artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
The Young Gods,http://www.bandsintown.com/TheYoungGods,2011-04-01T19:00:00,Etr,http://www.bandsintown.com/event/4121056?app_id=epfl,http://www.bandsintown.com/venue/275156,Fribourg,46.79489,7.151038,Fri-Son,4121056,275156
Seun Anikulapo Kuti,http://www.bandsintown.com/SeunAnikulapoKuti,2011-04-01T19:00:00,23,http://www.bandsintown.com/event/4184292?app_id=epfl,http://www.bandsintown.com/venue/1007840,Villette,46.49565,6.707312,Cully Jazz Festival,4184292,1007840
Professor Wouassa,http://www.bandsintown.com/ProfessorWouassa,2011-04-01T19:00:00,23,http://www.bandsintown.com/event/4184292?app_id=epfl,http://www.bandsintown.com/venue/1007840,Villette,46.49565,6.707312,Cully Jazz Festival,4184292,1007840
Marc Lavoine,http://www.bandsintown.com/MarcLavoine,2011-04-01T20:30:00,Etr,http://www.bandsintown.com/event/3757495?app_id=epfl,http://www.bandsintown.com/venue/940865,La Tour-De-Treme,46.60594,7.05908,SALLE CO2,3757495,940865
Sideburn,http://www.bandsintown.com/Sideburn,2011-04-01T22:30:00,22,http://www.bandsintown.com/event/4113513?app_id=epfl,http://www.bandsintown.com/venue/1017786,Liddes,46.0,7.1833333,Salle Communale,4113513,1017786
Laurent Garnier,http://www.bandsintown.com/LaurentGarnier,2011-04-01T23:00:00,Switzerland,http://www.bandsintown.com/event/4133523?app_id=epfl,http://www.bandsintown.com/venue/853608,Lausanne,46.518799,6.63232,D Club,4133523,853608
Scan X,http://www.bandsintown.com/ScanX,2011-04-01T23:30:00,,http://www.bandsintown.com/event/4113409?app_id=epfl,http://www.bandsintown.com/venue/1017743,Lausanne,46.5198333,6.6335,D.Club,4113409,1017743
Kaly Live Dub,http://www.bandsintown.com/KalyLiveDub,2011-04-01T19:00:00,12,http://www.bandsintown.com/event/4155713?app_id=epfl,http://www.bandsintown.com/venue/786657,La Chaux-De-Fonds,47.113022,6.8457,Bikini Test,4155713,786657
Roy Gaines,http://www.bandsintown.com/RoyGaines,2011-04-01T19:30:00,BE,http://www.bandsintown.com/event/4255017?app_id=epfl,http://www.bandsintown.com/venue/306299,Berne,46.96103,7.43941,Marians JazzRoom,4255017,306299
Toni Granello,http://www.bandsintown.com/ToniGranello,2011-04-01T13:00:00,25,http://www.bandsintown.com/event/4251966?app_id=epfl,http://www.bandsintown.com/venue/1060394,Zurich,47.3666667,8.55,Radio 105,4251966,1060394
The Peacocks,http://www.bandsintown.com/ThePeacocks,2011-04-01T19:00:00,,http://www.bandsintown.com/event/4106518?app_id=epfl,http://www.bandsintown.com/venue/957054,Schaffhausen,47.69856,8.636345,FassKeller,4106518,957054
Cascadeur,http://www.bandsintown.com/Cascadeur,2011-04-01T19:00:00,01,http://www.bandsintown.com/event/4221983?app_id=epfl,http://www.bandsintown.com/venue/351795,Lausanne,47.514647,8.232066,Le Bourg,4221983,351795
immanu el,http://www.bandsintown.com/ImmanuEl,2011-04-01T19:00:00,Switzerland,http://www.bandsintown.com/event/4122144?app_id=epfl,http://www.bandsintown.com/venue/309955,Lucerne,47.04258,8.319649,Treibhaus,4122144,309955
NORMANDIE,http://www.bandsintown.com/NORMANDIE,2011-04-01T19:00:00,11,http://www.bandsintown.com/event/6307900?app_id=epfl,http://www.bandsintown.com/venue/1720268,Kriens,47.0333333,8.2833333,Kriens,6307900,1720268
Movie Star Junkies,http://www.bandsintown.com/MovieStarJunkies,2011-04-01T19:00:00,CH,http://www.bandsintown.com/event/4125505?app_id=epfl,http://www.bandsintown.com/venue/1022434,Chiasso,46.3375636,8.9777878,murrayfield,4125505,1022434
