artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Zuul FX,http://www.bandsintown.com/ZuulFx,7.004455,3733049,933687,Saint-Maurice,Switzerland,46.216775,2010-10-01T19:00:00,http://www.bandsintown.com/event/3733049?app_id=epfl,http://www.bandsintown.com/venue/933687,Manoir pub
Casey,http://www.bandsintown.com/Casey,6.694775,3746243,938406,Vers-Chez-Les-Blanc,Switzerland,46.55459,2010-10-01T19:00:00,http://www.bandsintown.com/event/3746243?app_id=epfl,http://www.bandsintown.com/venue/938406,Amalgame
Marcel Dettmann,http://www.bandsintown.com/MarcelDettmann,6.632335,3853597,749156,Lausanne,Switzerland,46.519595,2010-10-01T20:00:00,http://www.bandsintown.com/event/3853597?app_id=epfl,http://www.bandsintown.com/venue/749156,DClub
Moncef Genoud Trio,http://www.bandsintown.com/MoncefGenoudTrio,7.168626,3916076,928437,Fribourg,Etr,46.80382,2010-10-01T21:00:00,http://www.bandsintown.com/event/3916076?app_id=epfl,http://www.bandsintown.com/venue/928437,La Spirale
Prostitute Disfigurement,http://www.bandsintown.com/ProstituteDisfigurement,6.64697,3479841,799732,Lausanne,Switzerland,46.54047,2010-10-01T22:00:00,http://www.bandsintown.com/event/3479841?app_id=epfl,http://www.bandsintown.com/venue/799732,Salle de Grand-Vennes
Samael,http://www.bandsintown.com/Samael,6.64697,3479841,799732,Lausanne,Switzerland,46.54047,2010-10-01T22:00:00,http://www.bandsintown.com/event/3479841?app_id=epfl,http://www.bandsintown.com/venue/799732,Salle de Grand-Vennes
Metal Assault Festival,http://www.bandsintown.com/MetalAssaultFestival,6.64697,3479841,799732,Lausanne,Switzerland,46.54047,2010-10-01T22:00:00,http://www.bandsintown.com/event/3479841?app_id=epfl,http://www.bandsintown.com/venue/799732,Salle de Grand-Vennes
Christian Prommer,http://www.bandsintown.com/ChristianPrommer,6.1427,3906312,979442,Geneva,Switzerland,46.208351,2010-10-01T23:00:00,http://www.bandsintown.com/event/3906312?app_id=epfl,http://www.bandsintown.com/venue/979442,The MaD
Bobmo,http://www.bandsintown.com/Bobmo,6.632335,3868460,790850,Lausanne,Switzerland,46.519595,2010-10-01T23:00:00,http://www.bandsintown.com/event/3868460?app_id=epfl,http://www.bandsintown.com/venue/790850,Loft Club
Eliana Burki,http://www.bandsintown.com/ElianaBurki,7.536927,3855723,966406,Solothurn,Switzerland,47.210542,2010-10-01T20:00:00,http://www.bandsintown.com/event/3855723?app_id=epfl,http://www.bandsintown.com/venue/966406,Kreuz Solothurn
Marcus Strickland,http://www.bandsintown.com/MarcusStrickland,7.43941,3889398,306299,Berne,BE,46.96103,2010-10-01T20:00:00,http://www.bandsintown.com/event/3889398?app_id=epfl,http://www.bandsintown.com/venue/306299,Marians JazzRoom
Völlig ausgebucht,http://www.bandsintown.com/V%C3%B6lligAusgebucht,7.4863123,3916071,981640,Muri - Bern,,46.9311309,2010-10-01T20:30:00,http://www.bandsintown.com/event/3916071?app_id=epfl,http://www.bandsintown.com/venue/981640,Landgasthof Sternen
Radiologisch Kick-Off,http://www.bandsintown.com/RadiologischKick-off,7.5282262,3916073,981641,Solothurn,SO,47.2008058,2010-10-01T21:00:00,http://www.bandsintown.com/event/3916073?app_id=epfl,http://www.bandsintown.com/venue/981641,Kulturfabrik Kofmehl/Halle
Tsigan,http://www.bandsintown.com/Tsigan,7.437954,3916080,289084,Berne,,46.956265,2010-10-01T21:00:00,http://www.bandsintown.com/event/3916080?app_id=epfl,http://www.bandsintown.com/venue/289084,Bierhubeli
Eminence,http://www.bandsintown.com/Eminence,7.46219,3730884,575656,Worblaufen,Switzerland,46.97673,2010-10-01T21:00:00,http://www.bandsintown.com/event/3730884?app_id=epfl,http://www.bandsintown.com/venue/575656,Tibis Downstairs
François Corbier,http://www.bandsintown.com/Fran%C3%A7oisCorbier,6.83157,3868901,969167,La Chaux De Fonda,Switzerland,47.102921,2010-10-01T21:00:00,http://www.bandsintown.com/event/3868901?app_id=epfl,http://www.bandsintown.com/venue/969167,La Chaux-de-Fonds
22-Pistepirkko,http://www.bandsintown.com/22-Pistepirkko,7.440015,3901029,338840,Berne,Switzerland,46.953159,2010-10-01T22:00:00,http://www.bandsintown.com/event/3901029?app_id=epfl,http://www.bandsintown.com/venue/338840,Dachstock
Dave Aju,http://www.bandsintown.com/DaveAju,7.34397,3889376,333098,DeléMont,Switzerland,47.365355,2010-10-01T23:00:00,http://www.bandsintown.com/event/3889376?app_id=epfl,http://www.bandsintown.com/venue/333098,Sas Musi Club
"""World Pole Sport",http://www.bandsintown.com/%22worldPoleSport,8.5674584,3916068,981638,Zürich Flughafen Kloten,,47.4489287,2010-10-01T10:00:00,http://www.bandsintown.com/event/3916068?app_id=epfl,http://www.bandsintown.com/venue/981638,AlpenRock House
"Fitness Semifinal 2010""",http://www.bandsintown.com/FitnessSemifinal2010%22,8.5674584,3916068,981638,Zürich Flughafen Kloten,,47.4489287,2010-10-01T10:00:00,http://www.bandsintown.com/event/3916068?app_id=epfl,http://www.bandsintown.com/venue/981638,AlpenRock House
Babylon Bombs,http://www.bandsintown.com/BabylonBombs,8.751285,3687952,106464,Uster,Switzerland,47.34108,2010-10-01T19:00:00,http://www.bandsintown.com/event/3687952?app_id=epfl,http://www.bandsintown.com/venue/106464,Rock City
The Cat Empire,http://www.bandsintown.com/TheCatEmpire,8.55,3499472,289114,Zurich,25,47.3666667,2010-10-01T19:00:00,http://www.bandsintown.com/event/3499472?app_id=epfl,http://www.bandsintown.com/venue/289114,Schutzenhaus Albisguetli
NOAN,http://www.bandsintown.com/NOAN,8.36202,6424789,1757937,Adligenswil,,47.07167,2010-10-01T19:00:00,http://www.bandsintown.com/event/6424789?app_id=epfl,http://www.bandsintown.com/venue/1757937,Teufmatt 
Patrick Gusset,http://www.bandsintown.com/PatrickGusset,7.5911254,3916069,169941,Basel,04,47.5638072,2010-10-01T20:00:00,http://www.bandsintown.com/event/3916069?app_id=epfl,http://www.bandsintown.com/venue/169941,Kaserne
Lumpenbrüder Productions,http://www.bandsintown.com/Lumpenbr%C3%BCderProductions,7.5911254,3916069,169941,Basel,04,47.5638072,2010-10-01T20:00:00,http://www.bandsintown.com/event/3916069?app_id=epfl,http://www.bandsintown.com/venue/169941,Kaserne
Still Flyin',http://www.bandsintown.com/StillFlyin%27,8.6333333,3804733,739813,Schaffhausen,16,47.7,2010-10-01T20:00:00,http://www.bandsintown.com/event/3804733?app_id=epfl,http://www.bandsintown.com/venue/739813,TapTab
Marco Panascia,http://www.bandsintown.com/MarcoPanascia,8.5333333,3910982,980788,Bulach,01,47.5166667,2010-10-01T20:00:00,http://www.bandsintown.com/event/3910982?app_id=epfl,http://www.bandsintown.com/venue/980788,Jazzclub Bulach
Dead to Me,http://www.bandsintown.com/DeadToMe,8.319649,3518060,309955,Lucerne,Switzerland,47.04258,2010-10-01T20:00:00,http://www.bandsintown.com/event/3518060?app_id=epfl,http://www.bandsintown.com/venue/309955,Treibhaus
Fenix TX,http://www.bandsintown.com/FenixTx,7.598329,3535212,293614,Basel,Switzerland,47.547538,2010-10-01T20:00:00,http://www.bandsintown.com/event/3535212?app_id=epfl,http://www.bandsintown.com/venue/293614,Sommercasino
Kristofer Åström,http://www.bandsintown.com/Kristofer%C3%85str%C3%B6m,7.5911298,3870075,358211,Basel,BS,47.5638084,2010-10-01T20:00:00,http://www.bandsintown.com/event/3870075?app_id=epfl,http://www.bandsintown.com/venue/358211,Parterre
