artist_name,artist_url,event_datetime,event_id,event_url,event_venue.city,event_venue.id,event_venue.latitude,event_venue.longitude,event_venue.name,event_venue.region,event_venue.url
Joe T. Vannelli,http://www.bandsintown.com/JoeT.Vannelli,2010-01-02T20:00:00,3256713,http://www.bandsintown.com/event/3256713?app_id=epfl,Aaray,808068,47.391811,8.04999,Kettenbrucke AARAU,Switzerland,http://www.bandsintown.com/venue/808068
Jools,http://www.bandsintown.com/Jools,2010-01-02T22:00:00,3305247,http://www.bandsintown.com/event/3305247?app_id=epfl,Lucerne,334152,47.044019,8.311746000000001,Schüür,Lucerne,http://www.bandsintown.com/venue/334152
POW-LOW,http://www.bandsintown.com/POW-LOW,2010-01-02T23:00:00,3255921,http://www.bandsintown.com/event/3255921?app_id=epfl,Zurich,388340,47.392132000000004,8.511339999999999,Club Q,25,http://www.bandsintown.com/venue/388340
Jeru the Damaja,http://www.bandsintown.com/JeruTheDamaja,2010-01-02T20:00:00,3272071,http://www.bandsintown.com/event/3272071?app_id=epfl,St. Gallen,328757,47.426392,9.37371,Kugl,Switzerland,http://www.bandsintown.com/venue/328757
Ektomorf,http://www.bandsintown.com/Ektomorf,2010-01-04T20:00:00,3159723,http://www.bandsintown.com/event/3159723?app_id=epfl,Basel,747119,47.5666667,7.6,Konzertfabrik Z7,04,http://www.bandsintown.com/venue/747119
Emergenti Italiani,http://www.bandsintown.com/EmergentiItaliani,2010-01-05T20:00:00,3286577,http://www.bandsintown.com/event/3286577?app_id=epfl,Novazzano,813491,45.842667999999996,8.982216000000001,Koan,Switzerland,http://www.bandsintown.com/venue/813491
Carrier,http://www.bandsintown.com/Carrier,2010-01-06T18:00:00,3195852,http://www.bandsintown.com/event/3195852?app_id=epfl,Zizers,786799,46.936001,9.56527,Event Stage,Switzerland,http://www.bandsintown.com/venue/786799
K7 Records,http://www.bandsintown.com/K7Records,2010-01-07T20:00:00,3184582,http://www.bandsintown.com/event/3184582?app_id=epfl,Zurich,297164,47.3666667,8.55,Hive,25,http://www.bandsintown.com/venue/297164
IZIA,http://www.bandsintown.com/IZIA,2010-01-08T19:00:00,3171944,http://www.bandsintown.com/event/3171944?app_id=epfl,Cheseaux-Noréaz,169999,46.781797,6.671189999999999,Amalgame Club,Switzerland,http://www.bandsintown.com/venue/169999
Izia 1èRe Partie,http://www.bandsintown.com/Izia1%C3%A8rePartie,2010-01-08T19:00:00,3171944,http://www.bandsintown.com/event/3171944?app_id=epfl,Cheseaux-Noréaz,169999,46.781797,6.671189999999999,Amalgame Club,Switzerland,http://www.bandsintown.com/venue/169999
K7 Records,http://www.bandsintown.com/K7Records,2010-01-08T20:00:00,3184583,http://www.bandsintown.com/event/3184583?app_id=epfl,Geneva,333195,46.20399999999999,6.13628,Zoo,GE,http://www.bandsintown.com/venue/333195
Joakim,http://www.bandsintown.com/Joakim,2010-01-08T20:00:00,3184583,http://www.bandsintown.com/event/3184583?app_id=epfl,Geneva,333195,46.20399999999999,6.13628,Zoo,GE,http://www.bandsintown.com/venue/333195
Chris Duarte Group,http://www.bandsintown.com/ChrisDuarteGroup,2010-01-08T19:00:00,3319394,http://www.bandsintown.com/event/3319394?app_id=epfl,Bern,819523,46.9166667,7.4666667,Alti Moschti,05,http://www.bandsintown.com/venue/819523
Doreen Shaffer,http://www.bandsintown.com/DoreenShaffer,2010-01-08T19:00:00,3275138,http://www.bandsintown.com/event/3275138?app_id=epfl,Conthey,334526,46.224321999999994,7.298266,Nouveau Monde,Switzerland,http://www.bandsintown.com/venue/334526
Painhead,http://www.bandsintown.com/Painhead,2010-01-08T21:00:00,9916028,http://www.bandsintown.com/event/9916028?app_id=epfl,Rorschach,351804,47.477940000000004,9.4952,Mariaberg,Switzerland,http://www.bandsintown.com/venue/351804
Marc Hype,http://www.bandsintown.com/MarcHype,2010-01-09T23:00:00,3188028,http://www.bandsintown.com/event/3188028?app_id=epfl,Lausanne,790850,46.519595,6.632335,Loft Club,Switzerland,http://www.bandsintown.com/venue/790850
Chris Duarte Group,http://www.bandsintown.com/ChrisDuarteGroup,2010-01-09T19:00:00,3319395,http://www.bandsintown.com/event/3319395?app_id=epfl,Bern,819524,46.9166667,7.4666667,TBA,05,http://www.bandsintown.com/venue/819524
DVW,http://www.bandsintown.com/DVW,2010-01-09T22:00:00,3305026,http://www.bandsintown.com/event/3305026?app_id=epfl,Berne,787028,46.948429,7.440460000000001,Wasserwerk Club,Switzerland,http://www.bandsintown.com/venue/787028
Fair Warning,http://www.bandsintown.com/FairWarning,2010-01-09T19:00:00,3259783,http://www.bandsintown.com/event/3259783?app_id=epfl,Uster,106464,47.34108,8.751285000000001,Rock City,Switzerland,http://www.bandsintown.com/venue/106464
Tocadisco,http://www.bandsintown.com/Tocadisco,2010-01-09T20:00:00,3272285,http://www.bandsintown.com/event/3272285?app_id=epfl,Zurich,331966,47.386998999999996,8.521115,Zürich,Switzerland,http://www.bandsintown.com/venue/331966
Painhead,http://www.bandsintown.com/Painhead,2010-01-09T20:00:00,9916030,http://www.bandsintown.com/event/9916030?app_id=epfl,Rorschach,351804,47.477940000000004,9.4952,Mariaberg,Switzerland,http://www.bandsintown.com/venue/351804
