name,genre,origin,ambigous_result,no_result
DJs Patric Pleasure,"Hip Hop, R'n'B",,,
Ramon Ramones,"Hip Hop, R'n'B",,,
Bülent Ceylan,"Ragga, Reggae, African Music, Dancehall",Germany,,
Raffi Lusso,"Ragga, Reggae, African Music, Dancehall",,,
Miguel M,"Ragga, Reggae, African Music, Dancehall",,,
Laurent Coulondre,"Jazz, Blues, Soul",,,
Jörgen Welander,"Jazz, Blues, Soul",,,
Lucas Saint,"Jazz, Blues, Soul",,,
Vega & Bosca,"Hip Hop, R'n'B",,,
Menic And The Bruncrana Firecrackers,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Menic,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Jürg Frey,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
David Brühlmann,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tevfik Kujas,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Charles Davis & Captured Moments,"Jazz, Blues, Soul",,,
Tin Soldiers,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Anna Mae,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Gigi Moto,"Hip Hop, R'n'B",,,
JP von Dach,"Hip Hop, R'n'B",,,
Ali Salvioni,Pop,,,
Mischa Podstransky,Pop,,,
Trio B.A.B & Hans Gysi,"Jazz, Blues, Soul",,,
Alfred Zimmerlin,"Jazz, Blues, Soul",,,
Bruno Huwyler,"Jazz, Blues, Soul",,,
Birgit Hauser,"Jazz, Blues, Soul",,,
Texte von Hans Gysi,"Jazz, Blues, Soul",,,
DJs Urbano,"Ragga, Reggae, African Music, Dancehall",,,
Jose Luis,"Ragga, Reggae, African Music, Dancehall",,,
Panthera,"Ragga, Reggae, African Music, Dancehall",,,
DJ Theo,"Ragga, Reggae, African Music, Dancehall",,,
Sarclo fait l'Dylan,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Aystep,"Hip Hop, R'n'B",,,
Mit Bachata- & Kizomba-Workshops,"Ragga, Reggae, African Music, Dancehall",,,
DJs Momo,"Hip Hop, R'n'B",,,
Alex Terry,"Hip Hop, R'n'B",,,
DJ Kenjiro & Grimm,"Hip Hop, R'n'B",,,
DJs Undreey,"Hip Hop, R'n'B",,,
Force,"Hip Hop, R'n'B",,,
Nightshift,"Hip Hop, R'n'B",,,
Joo Joo Eye Ball,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Real Rock Sound,"Ragga, Reggae, African Music, Dancehall",,,
DJ Mr. Tomatoo with King Gin & Duke Luke,"Hip Hop, R'n'B",,,
DJs K-Rim,"Hip Hop, R'n'B",,,
Sweap,"Hip Hop, R'n'B",,,
Live: XV Kilist & Rocco,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Frisk & Index,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Artemiss,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
M&D Babes,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Alison,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Certified,"Hip Hop, R'n'B",,,
Croma,"Hip Hop, R'n'B",,,
Curtis Bleu,"Hip Hop, R'n'B",,,
Simon Baumann & Fabian Kalker,"Jazz, Blues, Soul",,,
Simon Baumann,"Jazz, Blues, Soul",,,
Fabian Kalker,"Jazz, Blues, Soul",,,
Superterz,"Jazz, Blues, Soul",,,
Pyrolyzed,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Mantra,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Naked in English Class,"Jazz, Blues, Soul",,,
