,Artist,City,Date,Genre,Venue,origin
0,DJs Patric Pleasure, Basel,2017-01-20,"Hip Hop, R'n'B",Balz,
1,Ramon Ramones, Basel,2017-01-20,"Hip Hop, R'n'B",Balz,
2,Bülent Ceylan, Zürich,2017-01-19,"Ragga, Reggae, African Music, Dancehall",Vior Club,Germany
3,Raffi Lusso, Zürich,2017-01-19,"Ragga, Reggae, African Music, Dancehall",Vior Club,
4,Miguel M, Zürich,2017-01-19,"Ragga, Reggae, African Music, Dancehall",Vior Club,
5,Nicole Johänntgen, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
6,Laurent Coulondre, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
7,Nicole Johänntgen, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
8,René Mosele, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
9,Jörgen Welander, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
10,Laurent Coulondre, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
11,Lucas Saint, Zürich,2017-01-19,"Jazz, Blues, Soul",Moods,
12,Kool Savas, Basel,2017-01-19,"Hip Hop, R'n'B",Kaserne,
13,Vega & Bosca, Basel,2017-01-19,"Hip Hop, R'n'B",Kaserne,
14,Menic And The Bruncrana Firecrackers, Bern,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
15,Menic, Bern,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
16,Jürg Frey, Bern,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
17,David Brühlmann, Bern,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
18,Tevfik Kujas, Bern,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
19,Charles Davis & Captured Moments, Winterthur,2017-01-19,"Jazz, Blues, Soul",Esse Musicbar,
20,Tin Soldiers, Frauenfeld,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Eisenwerk,
21,Anna Mae, Unterägeri,2017-01-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Seminar Hotel,
22,Gigi Moto, Zürich,2017-01-19,"Hip Hop, R'n'B",Lebewohlfabrik,
23,Gigi Moto, Zürich,2017-01-19,"Hip Hop, R'n'B",Lebewohlfabrik,
24,JP von Dach, Zürich,2017-01-19,"Hip Hop, R'n'B",Lebewohlfabrik,
25,Michel Wyss, Bern,2017-01-18,Pop,Ono - Das Kulturlokal,
26,Ali Salvioni, Bern,2017-01-18,Pop,Ono - Das Kulturlokal,
27,Mischa Podstransky, Bern,2017-01-18,Pop,Ono - Das Kulturlokal,
28,Trio B.A.B & Hans Gysi, Winterthur,2017-01-18,"Jazz, Blues, Soul",Villa Sträuli,
29,Alfred Zimmerlin, Winterthur,2017-01-18,"Jazz, Blues, Soul",Villa Sträuli,
30,Bruno Huwyler, Winterthur,2017-01-18,"Jazz, Blues, Soul",Villa Sträuli,
31,Birgit Hauser, Winterthur,2017-01-18,"Jazz, Blues, Soul",Villa Sträuli,
32,Texte von Hans Gysi, Winterthur,2017-01-18,"Jazz, Blues, Soul",Villa Sträuli,
33,DJs Urbano, Luzern,2017-01-18,"Ragga, Reggae, African Music, Dancehall",Bar 59,
34,Jose Luis, Luzern,2017-01-18,"Ragga, Reggae, African Music, Dancehall",Bar 59,
35,Panthera, Luzern,2017-01-18,"Ragga, Reggae, African Music, Dancehall",Bar 59,
36,DJ Theo, Luzern,2017-01-18,"Ragga, Reggae, African Music, Dancehall",Madeleine,
37,Sarclo fait l'Dylan, Zürich,2017-01-17,"Rock, Indie, Punk, Heavy Metal, Gothic",Keller 62,
38,Sarcloret, Zürich,2017-01-17,"Rock, Indie, Punk, Heavy Metal, Gothic",Keller 62,
39,DJ Aystep, Zürich,2017-01-17,"Hip Hop, R'n'B",Club Flamingo,
40,Mit Bachata- & Kizomba-Workshops, Zürich,2017-01-17,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
41,DJs Momo, Zürich,2017-01-15,"Hip Hop, R'n'B",Club Flamingo,
42,Alex Terry, Zürich,2017-01-15,"Hip Hop, R'n'B",Club Flamingo,
43,DJ Kenjiro & Grimm, Bern,2017-01-15,"Hip Hop, R'n'B",Du Théâtre,
44,DJs Undreey, Zürich,2017-01-15,"Hip Hop, R'n'B",Moods,
45,Force, Zürich,2017-01-15,"Hip Hop, R'n'B",Moods,
46,Nightshift, Zürich,2017-01-15,"Hip Hop, R'n'B",Moods,
47,Joo Joo Eye Ball, Niederscherli,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",MZH Oberscherli,
48,Real Rock Sound, Winterthur,2017-01-15,"Ragga, Reggae, African Music, Dancehall",Kraftfeld,
49,DJ Mr. Tomatoo with King Gin & Duke Luke, Bern,2017-01-15,"Hip Hop, R'n'B",ISC Club,
50,DJs K-Rim, Zürich,2017-01-15,"Hip Hop, R'n'B",Mascotte,
51,Pfund 500, Zürich,2017-01-15,"Hip Hop, R'n'B",Mascotte,
52,Sweap, Zürich,2017-01-15,"Hip Hop, R'n'B",Mascotte,
53,Big Boys, Zürich,2017-01-15,"Hip Hop, R'n'B",Mascotte,
54,Live: XV Kilist & Rocco, Zürich,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne,
55,DJs Frisk & Index, Zürich,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne,
56,Artemiss, Zürich,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne,
57,M&D Babes, Zürich,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne,
58,Alison, Zürich,2017-01-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Alte Kaserne,
59,DJs Certified, Zürich,2017-01-15,"Hip Hop, R'n'B",Kanzlei,
60,Croma, Zürich,2017-01-15,"Hip Hop, R'n'B",Kanzlei,
61,Curtis Bleu, Zürich,2017-01-15,"Hip Hop, R'n'B",Kanzlei,
62,Simon Baumann & Fabian Kalker, Bern,2017-01-14,"Jazz, Blues, Soul",Orbital Garden,
63,Simon Baumann, Bern,2017-01-14,"Jazz, Blues, Soul",Orbital Garden,
64,Fabian Kalker, Bern,2017-01-14,"Jazz, Blues, Soul",Orbital Garden,
65,Superterz, Zürich,2017-01-14,"Jazz, Blues, Soul",Photobastei,
66,Dick Laurent, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
67,Pyrolyzed, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
68,Mantra, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
69,Naked in English Class, Zürich,2017-01-14,"Jazz, Blues, Soul",Mars Bar,
70,Film Hot Sugars Cold World, Sankt Gallen,2017-01-14,Electronic,Palace,
