name,description,meta_desc,website,facebook_link,ticket_link,start_date,end_date,min_price,max_price,capacity,is_free,postal_code,city,canton,coord_x,coord_y
1066 Festival,"Doter la commune d’Epalinges d’un événement culturel d’envergure rayonnant au delà de ses frontières : c’est le pari relevé par Guillaume Morand, Virginie Guisan et Florian Schmied, à l’origine de l’association 1066 festival. Les trois fondateurs, activement soutenus par la commune, ont fait renaître l’un des premiers festivals de suisse romande, le Festival folk d’Epalinges fondé par Géo Voumard en 1974.  En octobre 2013, la première édition du festival a remporté son pari en accueillant près de 1200 personnes dans la salle de la Croix-Blanche. En mobilisant les énergies locales, notamment les jeunes et les artisans de la commune, le 1066 festival mise sur la proximité dans son organisation. La programmation quant à elle joue la carte du lointain et de la curiosité.","Doter la commune d’Epalinges d’un événement culturel d’envergure rayonnant au delà de ses frontières : c’est le pari relevé par Guillaume Morand, Virginie Guisan et Florian Schmied, à...",http://www.1066festival.ch,https://www.facebook.com/pages/1066-festival/505112819558379,http://www.1066festival.ch/billeterie/,2016-09-30,2016-10-01,0.0,87.0,,False,1066,Epalinges,Vaud,46.5473847,6.6614004
13e Rock am Wind Festival,"Le festival de musique en plein air de la Vallée de Joux est de retour pour sa 13e édition. 

Nature, gratuité et convivialité seront à nouveau au rendez-vous de ce festival de poche au succès grandissant. 

Au bord du lac de Joux, venez découvrir:  Bernie Constantin, Primasch, Doll, Kissamilé, Forks, Les Anes rient de Marie, Todos Destinos, Grand Canard Blanc, Dj Fad-R, Dj Mitch et l’Ecole de musique de la Vallée de Joux.

Le vendredi 24 juin et le samedi 25 juin, retrouvez l’atmosphère unique de ce festival d’altitude au cœur du Jura-vaudois !","Le festival de musique en plein air de la Vallée de Joux est de retour pour sa 13e édition.   Nature, gratuité et convivialité seront à nouveau au rendez-vous de ce festival de poche au succès...",http://www.rockamwind.ch,https://fr-fr.facebook.com/rockamwind/,,2016-06-24,2016-06-25,,,2000.0,False,1346,L'Abbaye,Vaud,46.618234,6.2656026
41. Winterthurer Musikfestwochen,,,,,,,,,,,False,,Winterthur,,0.0,0.0
Aero Festival,"Une bande de jurassiens s’est lancé un nouveau défi: organiser un festival sur l’ancien terrain de l’aérodrome de Courtedoux. L’Aero Festival aura lieu du 10 au 11 juillet, et la programmation laisse place aux chanteurs et groupes de la région.","Une bande de jurassiens s’est lancé un nouveau défi: organiser un festival sur l’ancien terrain de l’aérodrome de Courtedoux. L’Aero Festival aura lieu du 10 au 11 juillet, et la programmation...",http://www.aerofestivalporrentruy.ch,http://www.facebook.com/aerofestival/timeline,,2016-07-15,2016-07-17,0.0,10.0,,False,2900,Porrentruy,JU,47.4092135,7.0510044
Afro Pfingsten Festival,Afro-Pfingsten Festival Seit über zwei Jahrzehnten bietet das Afro-Pfingsten Festival in Winterthur Einblick in die afrikanischen und afroamerikanischen Kulturen. www.afro-pfingsten.ch,Afro-Pfingsten Festival Seit über zwei Jahrzehnten bietet das Afro-Pfingsten Festival in Winterthur Einblick in die afrikanischen und afroamerikanischen Kulturen. www.afro-pfingsten.ch,http://www.afro-pfingsten.ch/,https://www.facebook.com/afropfingsten,,2015-05-19,2015-05-24,,,,False,8400,Winterthur,ZH,47.4961436,8.7186647
Aigl'in Music Festival,"Fondé en 2013, Aigl’in Music joue un rôle culturel et social remarquable; une occasion de se positionner sur la scène culturelle grâce à un événement convivial marquant, mettant en avant la richesse musicale régionale soutenue par des musiciens reconnus.
La manifestation gratuite au public se déroulant sur deux jours cela contribuera fortement au développement de l’économie touristique ainsi qu’à la promotion de l’image de la ville d’Aigle.","Fondé en 2013, Aigl’in Music joue un rôle culturel et social remarquable; une occasion de se positionner sur la scène culturelle grâce à un événement convivial marquant, mettant en avant la...",http://www.aiglinmusic.ch/,http://www.facebook.com/AiglInMusic?ref=bookmarks,,2016-06-10,2016-06-11,0.0,0.0,,True,1860,Aigle,VD,46.3187369,6.9708948
Aigl'in Music Festival,"Fondé en 2013, Aigl’in Music joue un rôle culturel et social remarquable; une occasion de se positionner sur la scène culturelle grâce à un événement convivial marquant, mettant en avant la richesse musicale régionale soutenue par des musiciens reconnus.
La manifestation gratuite au public se déroulant sur deux jours cela contribuera fortement au développement de l’économie touristique ainsi qu’à la promotion de l’image de la ville d’Aigle.",,http://www.aiglinmusic.ch/,http://www.facebook.com/AiglInMusic?ref=bookmarks,,2017-06-09,2017-06-10,0.0,0.0,,True,1860,Aigle,VD,46.3187369,6.9708948
Albanifest Winterthur,"Wer hätte das gedacht, aller Anfang war klein und keiner ahnte welche traditionelle Zukunft das Albanifest einmal haben würde. 

Seit nun 45 Jahren erleben wir jedes Jahr die grosse Zusammenkunft zu diesem einzigartigen und spektakulären Anlass.

Das Albanifest-Komitee freut sich Euch am 45. Albanifest vom 24. - 26. Juni 2016 in der Altstadt von Winterthur begrüssen zu dürfen.","Wer hätte das gedacht, aller Anfang war klein und keiner ahnte welche traditionelle Zukunft das Albanifest einmal haben würde.   Seit nun 45 Jahren erleben wir jedes Jahr die grosse Zusammenkunft zu...",http://www.albanifest.ch/index.php,https://www.facebook.com/Albanifest,,2016-06-24,2016-06-26,,,,False,0,Winterthour,ZH,47.4988196,8.7236889000001
Alpen Openair,L'Alpen Openair est un festival de musique Country se déroulant dans les Alpes.,L'Alpen Openair est un festival de musique Country se déroulant dans les Alpes.,http://www.alpenopenair.ch/,,,2012-07-16,2012-07-19,,,,False,0,Küssnacht,SZ,47.0843237,8.4431621
Altendorf Openair,"Der Aufbau des Haabalooza Festivals beginnt schon bald!
Was wir in den nächsten drei Tagen so vor haben, zeigt euch das Zeitraffervideo zum Aufbau von 2014. 
Wir vom OK möchten uns an dieser Stelle nochmals bei allen Helfern der letzten Jahre bedanken und freuen uns auch diesmal wieder auf die Zeit mit euch!","Der Aufbau des Haabalooza Festivals beginnt schon bald! Was wir in den nächsten drei Tagen so vor haben, zeigt euch das Zeitraffervideo zum Aufbau von 2014.  Wir vom OK möchten uns an dieser Stelle...",http://www.openair-altendorf.ch/,https://www.facebook.com/OpenairAltendorf/,http://www.openair-altendorf.ch/infos/tickets/,2016-08-26,2016-08-27,20.0,35.0,,False,8852,Altendorf,SZ,47.1976066,8.8150915
Alternatives Festival,"Festival électronique qui s'étend sur quatre jours, trois nuits, trois lieux, trois mille animaux nocturnes et une liste d'artistes Berlinois, Parisiens, Genevois et locaux.","Festival électronique qui s'étend sur quatre jours, trois nuits, trois lieux, trois mille animaux nocturnes et une liste d'artistes Berlinois, Parisiens, Genevois et locaux.",https://www.facebook.com/events/688922307901238/,https://www.facebook.com/events/688922307901238/,,2015-05-14,2015-05-17,20.0,20.0,,False,0,Neuchâtel,NE,46.9929793,6.9319325
Altstadtchilbi,"In der Altstadt bilden 150 Eigengeschäfte, Marktfahrer und Vereine in den Bereichen Markt und Esswaren den einen Teil der Chilbi. Ergänzt wird dieser von ca. 50 Altstadt-Restaurants und Bars sowie Vereinskeller und Vereins-Festwirtschaften. Die Unterhaltung findet auf den Bühnen im Ring und dem Burgplatz statt. Sie werden auf Eigeninitiative der Festwirte durch Orchester und Attraktionen in verschiedenen Lokalen und Festzelten ergänzt.","In der Altstadt bilden 150 Eigengeschäfte, Marktfahrer und Vereine in den Bereichen Markt und Esswaren den einen Teil der Chilbi. Ergänzt wird dieser von ca. 50 Altstadt-Restaurants und Bars sowie...",http://www.biel-seeland.ch/de/veranstaltungen/hauptveranstaltungen/altstadtchilbi.2930.html,,,2016-08-26,2016-08-28,,,,False,0,Biel/Bienne,BE,47.1361426,7.2474068
Amphitheater Electronic Festival,"Hertz, die Macher der Tanzwiese am Züri Fäscht 2010, präsentieren ein 24-stündiges Programm mit Livekünstlern und DJs aus 3 Kontinenten, Videokunst, Deco, Licht, Laser und eine anspruchsvolle Beschallung. Szeneübergreifend und trotzdem stilsicher bewegt sich das Festival musikalisch zwischen Progressive-Psy, Tech-House und Dubstep. Eines der vielen Highlights ist das exklusive ""Remember""-Liveset mit den Superstars Infected Mushroom (Los Angeles) in Originalbesetzung.","Hertz, die Macher der Tanzwiese am Züri Fäscht 2010, präsentieren ein 24-stündiges Programm mit Livekünstlern und DJs aus 3 Kontinenten, Videokunst, Deco, Licht, Laser und eine anspruchsvolle...",,,,2011-09-10,2011-09-10,,,,False,8194,Hüntwangen,ZH,47.5894999,8.5006892
AMR Jazz Festival,"Créée en 1973 par des musiciens passionnés par la scène des musiques de jazz et d’improvisation, l’Association pour l’encouragement de la Musique impRovisée (AMR) a milité pour la création et le développement d’une scène musicale genevoise et organisé régulièrement des concerts et des ateliers de musique. Huit ans après sa création, elle obtenait une reconnaissance des autorités qui mettaient à sa disposition le bâtiment sis au 10 rue des Alpes, surnommé le «Sud des Alpes». Depuis lors, l’AMR et son centre musical sont devenus un des pôles de la vie culturelle genevoise. L’association présente chaque année plus de deux cents soirées musicales publiques et deux festivals (l’un offert et en plein air dans le parc des Cropettes à la fin juin, l’autre payant au printemps). Elle organise 45 ateliers hebdomadaires de pratique musicale en orchestre et de nombreux stages. En 2005, elle a signé une convention de subventionnement tripartite avec le département de la culture de la Ville de Genève et le Département de l’Instruction Publique de l’Etat de Genève. En 2009 elle a obtenu le label de qualité « Artistiqua » et son accréditation au sein de la CEGM.",,http://www.amr-geneve.ch/amr-jazz-festival,,,2017-03-21,2017-03-26,0.0,0.0,,True,1201,Genève,GE,46.2097558,6.1458454
AMR Jazz Festival,"Créée en 1973 par des musiciens passionnés par la scène des musiques de jazz et d’improvisation, l’Association pour l’encouragement de la Musique impRovisée (AMR) a milité pour la création et le développement d’une scène musicale genevoise et organisé régulièrement des concerts et des ateliers de musique. Huit ans après sa création, elle obtenait une reconnaissance des autorités qui mettaient à sa disposition le bâtiment sis au 10 rue des Alpes, surnommé le «Sud des Alpes». Depuis lors, l’AMR et son centre musical sont devenus un des pôles de la vie culturelle genevoise. L’association présente chaque année plus de deux cents soirées musicales publiques et deux festivals (l’un offert et en plein air dans le parc des Cropettes à la fin juin, l’autre payant au printemps). Elle organise 45 ateliers hebdomadaires de pratique musicale en orchestre et de nombreux stages. En 2005, elle a signé une convention de subventionnement tripartite avec le département de la culture de la Ville de Genève et le Département de l’Instruction Publique de l’Etat de Genève. En 2009 elle a obtenu le label de qualité « Artistiqua » et son accréditation au sein de la CEGM.","Créée en 1973 par des musiciens passionnés par la scène des musiques de jazz et d’improvisation, l’Association pour l’encouragement de la Musique impRovisée (AMR) a milité pour la création et...",http://www.amr-geneve.ch/amr-jazz-festival,,,2016-03-15,2016-03-20,20.0,40.0,,False,1201,Genève,GE,46.2097558,6.1458454
Antidote,"L'Antidote Festival se déroule aux Parc des Rives à Yverdon-les-Bains. Ce festival est particulier puisqu'il propose un concept unique en son genre: il est en grande partie organisé en fonction des choix du public!, C’est le gros point fort du festival, une idée originale qui permet de nous différencier et de proposer quelque chose de nouveau dans le domaine: créer un nouveau style de festival musical basé sur la reconnaissance de groupes en devenir grâce au plébiscite communautaire.",L'Antidote Festival se déroule aux Parc des Rives à Yverdon-les-Bains. Ce festival est particulier puisqu'il propose un concept unique en son genre: il est en grande partie organisé en fonction des...,http://www.antidotefestival.ch,https://www.facebook.com/lefestivalantidote?fref=ts,http://www.antidotefestival.ch/billets,2015-08-14,2015-08-15,25.0,40.0,,False,1400,Yverdon-les-Bains,VD,46.786151,6.6424959999999995
